Date_Time,CO2,Estado_Valvula_CO2,Estado_Valvula_Compost,Temp_Compost,Temp_Suncho,Estado_Suncho
25/10/2021_00:14:30,443,Apagado,Prendido,54.50,52.00,Prendido
25/10/2021_00:14:36,445,Apagado,Prendido,54.56,52.25,Apagado
25/10/2021_00:14:41,445,Apagado,Prendido,54.50,52.19,Apagado
25/10/2021_00:14:47,445,Apagado,Prendido,54.50,52.19,Apagado
25/10/2021_00:14:52,443,Apagado,Prendido,54.50,52.13,Apagado
25/10/2021_00:14:58,442,Apagado,Prendido,54.50,51.94,Prendido
25/10/2021_00:15:04,440,Apagado,Prendido,54.50,51.94,Prendido
25/10/2021_00:15:09,439,Apagado,Prendido,54.50,51.94,Prendido
25/10/2021_00:15:15,440,Apagado,Prendido,54.50,52.00,Prendido
25/10/2021_00:15:21,440,Apagado,Prendido,54.50,52.13,Apagado
25/10/2021_00:15:26,440,Apagado,Prendido,54.50,52.19,Apagado
25/10/2021_00:15:32,440,Apagado,Prendido,54.50,52.13,Apagado
25/10/2021_00:15:37,439,Apagado,Prendido,54.50,52.06,Apagado
25/10/2021_00:15:43,439,Apagado,Prendido,54.50,51.94,Prendido
25/10/2021_00:15:49,438,Apagado,Prendido,54.56,51.81,Prendido
25/10/2021_00:15:54,437,Apagado,Prendido,54.50,51.81,Prendido
25/10/2021_00:16:00,436,Apagado,Prendido,54.56,51.88,Prendido
25/10/2021_00:16:06,435,Apagado,Prendido,54.50,51.94,Prendido
25/10/2021_00:16:11,435,Apagado,Prendido,54.56,52.00,Prendido
25/10/2021_00:16:17,436,Apagado,Prendido,54.50,52.19,Apagado
25/10/2021_00:16:22,437,Apagado,Prendido,54.50,52.38,Apagado
25/10/2021_00:16:28,437,Apagado,Prendido,54.50,52.38,Apagado
25/10/2021_00:16:34,441,Apagado,Prendido,54.50,52.19,Apagado
25/10/2021_00:16:39,441,Apagado,Prendido,54.50,52.06,Apagado
25/10/2021_00:16:45,441,Apagado,Prendido,54.50,51.94,Prendido
25/10/2021_00:16:50,440,Apagado,Prendido,54.50,51.81,Prendido
25/10/2021_00:16:56,441,Apagado,Prendido,54.56,51.88,Prendido
25/10/2021_00:17:02,440,Apagado,Prendido,54.50,51.94,Prendido
25/10/2021_00:17:07,440,Apagado,Prendido,54.56,52.06,Apagado
25/10/2021_00:17:13,441,Apagado,Prendido,54.50,52.06,Apagado
25/10/2021_00:17:19,441,Apagado,Prendido,54.56,52.13,Apagado
25/10/2021_00:17:24,441,Apagado,Prendido,54.50,51.88,Prendido
25/10/2021_00:17:30,442,Apagado,Prendido,54.56,51.94,Prendido
25/10/2021_00:17:35,442,Apagado,Prendido,54.50,51.94,Prendido
25/10/2021_00:17:41,440,Apagado,Prendido,54.50,52.00,Prendido
25/10/2021_00:17:47,440,Apagado,Prendido,54.50,52.13,Apagado
25/10/2021_00:17:52,439,Apagado,Prendido,54.50,52.19,Apagado
25/10/2021_00:17:58,439,Apagado,Prendido,54.44,52.06,Apagado
25/10/2021_00:18:04,440,Apagado,Prendido,54.50,52.00,Prendido
25/10/2021_00:18:09,441,Apagado,Prendido,54.50,51.94,Prendido
25/10/2021_00:18:15,441,Apagado,Prendido,54.50,52.06,Apagado
25/10/2021_00:18:20,441,Apagado,Prendido,54.50,52.00,Prendido
25/10/2021_00:18:26,441,Apagado,Prendido,54.50,52.00,Prendido
25/10/2021_00:18:32,442,Apagado,Prendido,54.50,52.13,Apagado
25/10/2021_00:18:37,442,Apagado,Prendido,54.50,52.13,Apagado
25/10/2021_00:18:43,442,Apagado,Prendido,54.50,52.13,Apagado
25/10/2021_00:18:49,444,Apagado,Prendido,54.50,51.94,Prendido
25/10/2021_00:18:54,444,Apagado,Prendido,54.50,51.94,Prendido
25/10/2021_00:19:00,444,Apagado,Prendido,54.56,51.88,Prendido
25/10/2021_00:19:05,445,Apagado,Prendido,54.56,52.06,Apagado
25/10/2021_00:19:11,448,Apagado,Prendido,54.50,52.06,Apagado
25/10/2021_00:19:17,448,Apagado,Prendido,54.50,52.06,Apagado
25/10/2021_00:19:22,448,Apagado,Prendido,54.50,51.94,Prendido
25/10/2021_00:19:28,448,Apagado,Prendido,54.56,51.75,Prendido
25/10/2021_00:19:33,447,Apagado,Prendido,54.56,51.81,Prendido
25/10/2021_00:19:39,447,Apagado,Prendido,54.56,51.88,Prendido
25/10/2021_00:19:45,449,Apagado,Prendido,54.50,52.00,Prendido
25/10/2021_00:19:50,450,Apagado,Prendido,54.50,52.06,Apagado
25/10/2021_00:19:56,451,Apagado,Prendido,54.50,52.13,Apagado
25/10/2021_00:20:02,450,Apagado,Prendido,54.50,52.19,Apagado
25/10/2021_00:20:07,450,Apagado,Prendido,54.50,52.13,Apagado
25/10/2021_00:20:13,449,Apagado,Prendido,54.56,51.94,Prendido
25/10/2021_00:20:18,450,Apagado,Prendido,54.56,51.75,Prendido
25/10/2021_00:20:24,451,Apagado,Prendido,54.56,51.88,Prendido
