Date_Time,CO2,Estado_Valvula_CO2,Estado_Valvula_Compost,Temp_Compost,Temp_Suncho,Estado_Suncho
25/10/2021_04:55:32,494,Apagado,Prendido,54.25,52.00,Prendido
25/10/2021_04:55:38,494,Apagado,Prendido,54.25,52.19,Apagado
25/10/2021_04:55:43,493,Apagado,Prendido,54.19,52.19,Apagado
25/10/2021_04:55:49,493,Apagado,Prendido,54.25,52.13,Apagado
25/10/2021_04:55:55,494,Apagado,Prendido,54.19,52.00,Prendido
25/10/2021_04:56:00,494,Apagado,Prendido,54.25,51.94,Prendido
25/10/2021_04:56:06,494,Apagado,Prendido,54.25,51.88,Prendido
25/10/2021_04:56:12,495,Apagado,Prendido,54.25,52.06,Apagado
25/10/2021_04:56:17,495,Apagado,Prendido,54.19,52.00,Prendido
25/10/2021_04:56:23,495,Apagado,Prendido,54.25,52.06,Apagado
25/10/2021_04:56:28,494,Apagado,Prendido,54.19,52.06,Apagado
25/10/2021_04:56:34,495,Apagado,Prendido,54.19,52.13,Apagado
25/10/2021_04:56:40,494,Apagado,Prendido,54.25,52.00,Prendido
25/10/2021_04:56:45,495,Apagado,Prendido,54.25,51.81,Prendido
25/10/2021_04:56:51,496,Apagado,Prendido,54.25,51.88,Prendido
25/10/2021_04:56:56,498,Apagado,Prendido,54.25,52.06,Apagado
25/10/2021_04:57:02,498,Apagado,Prendido,54.19,51.94,Prendido
25/10/2021_04:57:08,499,Apagado,Prendido,54.19,52.06,Apagado
25/10/2021_04:57:13,500,Apagado,Prendido,54.19,52.00,Prendido
25/10/2021_04:57:19,501,Apagado,Prendido,54.25,52.00,Prendido
25/10/2021_04:57:25,501,Apagado,Prendido,54.25,52.06,Apagado
25/10/2021_04:57:30,501,Apagado,Prendido,54.19,52.13,Apagado
25/10/2021_04:57:36,501,Apagado,Prendido,54.19,52.06,Apagado
25/10/2021_04:57:41,503,Apagado,Prendido,54.25,51.94,Prendido
25/10/2021_04:57:47,504,Apagado,Prendido,54.25,51.94,Prendido
25/10/2021_04:57:53,503,Apagado,Prendido,54.25,51.88,Prendido
25/10/2021_04:57:58,501,Apagado,Prendido,54.25,52.00,Prendido
25/10/2021_04:58:04,501,Apagado,Prendido,54.25,52.13,Apagado
25/10/2021_04:58:10,501,Apagado,Prendido,54.19,52.19,Apagado
25/10/2021_04:58:15,501,Apagado,Prendido,54.19,52.06,Apagado
25/10/2021_04:58:21,501,Apagado,Prendido,54.19,52.06,Apagado
25/10/2021_04:58:26,502,Apagado,Prendido,54.19,51.88,Prendido
25/10/2021_04:58:32,502,Apagado,Prendido,54.25,51.88,Prendido
25/10/2021_04:58:38,502,Apagado,Prendido,54.25,51.75,Prendido
25/10/2021_04:58:43,502,Apagado,Prendido,54.19,51.94,Prendido
25/10/2021_04:58:49,499,Apagado,Prendido,54.25,52.00,Prendido
25/10/2021_04:58:55,501,Apagado,Prendido,54.25,52.13,Apagado
25/10/2021_04:59:00,501,Apagado,Prendido,54.19,52.19,Apagado
25/10/2021_04:59:06,501,Apagado,Prendido,54.19,52.19,Apagado
25/10/2021_04:59:11,502,Apagado,Prendido,54.19,52.13,Apagado
25/10/2021_04:59:17,503,Apagado,Prendido,54.19,51.94,Prendido
25/10/2021_04:59:23,502,Apagado,Prendido,54.19,51.88,Prendido
25/10/2021_04:59:28,501,Apagado,Prendido,54.19,51.88,Prendido
25/10/2021_04:59:34,501,Apagado,Prendido,54.19,52.00,Prendido
25/10/2021_04:59:39,501,Apagado,Prendido,54.19,52.06,Apagado
25/10/2021_04:59:45,501,Apagado,Prendido,54.19,52.13,Apagado
25/10/2021_04:59:51,502,Apagado,Prendido,54.19,52.06,Apagado
25/10/2021_04:59:56,503,Apagado,Prendido,54.19,52.00,Prendido
25/10/2021_05:00:02,503,Apagado,Prendido,54.25,51.88,Prendido
25/10/2021_05:00:08,505,Apagado,Prendido,54.25,51.88,Prendido
25/10/2021_05:00:13,507,Apagado,Prendido,54.25,52.00,Prendido
25/10/2021_05:00:19,506,Apagado,Prendido,54.19,52.19,Apagado
25/10/2021_05:00:24,507,Apagado,Prendido,54.19,52.19,Apagado
25/10/2021_05:00:30,506,Apagado,Prendido,54.19,52.13,Apagado
25/10/2021_05:00:36,506,Apagado,Prendido,54.19,52.19,Apagado
25/10/2021_05:00:41,507,Apagado,Prendido,54.19,52.00,Prendido
25/10/2021_05:00:47,508,Apagado,Prendido,54.25,51.88,Prendido
25/10/2021_05:00:53,507,Apagado,Prendido,54.25,51.94,Prendido
25/10/2021_05:00:58,507,Apagado,Prendido,54.25,51.94,Prendido
25/10/2021_05:01:04,507,Apagado,Prendido,54.25,52.13,Apagado
25/10/2021_05:01:09,505,Apagado,Prendido,54.19,52.19,Apagado
25/10/2021_05:01:15,503,Apagado,Prendido,54.19,52.13,Apagado
25/10/2021_05:01:21,500,Apagado,Prendido,54.19,51.94,Prendido
25/10/2021_05:01:26,498,Apagado,Prendido,54.19,51.88,Prendido
25/10/2021_05:01:32,498,Apagado,Prendido,54.19,51.88,Prendido
25/10/2021_05:01:38,499,Apagado,Prendido,54.19,52.00,Prendido
25/10/2021_05:01:43,499,Apagado,Prendido,54.25,52.19,Apagado
25/10/2021_05:01:49,500,Apagado,Prendido,54.19,52.19,Apagado
25/10/2021_05:01:54,500,Apagado,Prendido,54.19,52.19,Apagado
25/10/2021_05:02:00,500,Apagado,Prendido,54.19,52.06,Apagado
25/10/2021_05:02:06,500,Apagado,Prendido,54.19,51.94,Prendido
25/10/2021_05:02:11,499,Apagado,Prendido,54.19,51.88,Prendido
