Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
11/04/2022_12:38:20,1013,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.13,57.38,54.75,48.44,Prendido
11/04/2022_12:38:26,1011,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.13,57.31,54.81,48.44,Prendido
11/04/2022_12:38:32,1009,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.13,57.38,54.81,48.38,Prendido
11/04/2022_12:38:38,1007,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.13,57.38,54.88,48.44,Prendido
11/04/2022_12:38:43,1007,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.13,57.31,54.88,48.44,Prendido
11/04/2022_12:38:49,1006,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.19,57.38,54.94,48.44,Prendido
11/04/2022_12:38:55,1006,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.19,57.38,54.94,48.44,Prendido
11/04/2022_12:39:01,1006,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.19,57.31,55.00,48.44,Prendido
11/04/2022_12:39:07,1005,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.19,57.38,54.94,48.44,Prendido
11/04/2022_12:39:13,1005,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.19,57.38,55.00,48.44,Prendido
11/04/2022_12:39:19,1004,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.19,57.38,54.94,48.44,Prendido
11/04/2022_12:39:24,1001,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.19,57.38,54.94,48.44,Prendido
11/04/2022_12:39:30,1001,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.00,48.19,57.38,54.94,48.44,Prendido
11/04/2022_12:39:36,1003,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.00,48.19,57.44,55.00,48.44,Prendido
11/04/2022_12:39:42,1004,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.00,48.25,57.38,55.06,48.44,Apagado
11/04/2022_12:39:48,1003,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.31,57.38,55.13,48.50,Apagado
11/04/2022_12:39:54,1001,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.25,57.44,55.13,48.50,Apagado
11/04/2022_12:40:00,999,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.25,57.44,55.13,48.50,Apagado
11/04/2022_12:40:06,997,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.31,57.44,54.94,48.56,Prendido
11/04/2022_12:40:11,999,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.31,57.44,54.88,48.50,Prendido
11/04/2022_12:40:17,1000,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.31,57.44,54.88,48.50,Prendido
11/04/2022_12:40:23,1000,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.31,57.44,54.75,48.50,Prendido
11/04/2022_12:40:29,997,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.31,57.44,54.75,48.50,Prendido
11/04/2022_12:40:35,996,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.25,57.50,54.75,48.50,Prendido
11/04/2022_12:40:41,995,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.13,48.31,57.50,54.69,48.50,Prendido
11/04/2022_12:40:47,992,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.06,48.31,57.50,54.75,48.50,Prendido
11/04/2022_12:40:52,990,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.13,48.31,57.50,54.69,48.50,Prendido
11/04/2022_12:40:58,992,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.13,48.31,57.50,54.81,48.50,Prendido
11/04/2022_12:41:04,992,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.13,48.38,57.50,54.75,48.50,Prendido
11/04/2022_12:41:10,992,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.13,48.31,57.50,54.81,48.50,Prendido
11/04/2022_12:41:16,992,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.13,48.31,57.50,54.81,48.50,Prendido
11/04/2022_12:41:22,992,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.13,48.31,57.56,54.81,48.50,Prendido
11/04/2022_12:41:28,992,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.13,48.38,57.50,54.88,48.50,Prendido
11/04/2022_12:41:34,993,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.13,48.38,57.50,54.81,48.50,Prendido
11/04/2022_12:41:39,992,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,55.13,48.38,57.50,54.81,48.50,Prendido
