Date_Time,CO2,Estado_Valvula_1,Estado_Valvula_2,Estado_Valvula_3,Estado_Valvula_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
21/03/2022_13:56:27,756,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.06,24.56,25.25,Prendido
21/03/2022_13:56:33,756,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.06,24.69,25.25,Prendido
21/03/2022_13:56:39,755,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.06,24.56,25.25,Prendido
21/03/2022_13:56:45,757,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.06,24.69,25.25,Prendido
21/03/2022_13:56:50,758,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.06,24.62,25.25,Prendido
21/03/2022_13:56:56,759,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.06,24.62,25.25,Prendido
21/03/2022_13:57:02,759,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.06,24.69,25.25,Prendido
21/03/2022_13:57:08,758,Apagado,Prendido,Apagado,Apagado,25.69,25.37,25.06,24.62,25.25,Prendido
21/03/2022_13:57:14,758,Apagado,Prendido,Apagado,Apagado,25.62,25.37,25.12,24.69,25.25,Prendido
21/03/2022_13:57:20,758,Apagado,Prendido,Apagado,Apagado,25.62,25.37,25.06,24.62,25.25,Prendido
21/03/2022_13:57:26,758,Apagado,Prendido,Apagado,Apagado,25.69,25.37,25.06,24.75,25.25,Prendido
21/03/2022_13:57:31,758,Apagado,Prendido,Apagado,Apagado,25.69,25.37,25.12,24.62,25.25,Prendido
21/03/2022_13:57:37,760,Apagado,Prendido,Apagado,Apagado,25.75,25.37,25.12,24.62,25.25,Prendido
21/03/2022_13:57:43,760,Apagado,Apagado,Prendido,Apagado,25.69,25.37,25.12,24.69,25.25,Prendido
21/03/2022_13:57:49,762,Apagado,Apagado,Prendido,Apagado,25.69,25.37,25.12,24.75,25.25,Prendido
21/03/2022_13:57:55,762,Apagado,Apagado,Prendido,Apagado,25.75,25.37,25.12,24.69,25.25,Prendido
21/03/2022_13:58:01,762,Apagado,Apagado,Prendido,Apagado,25.69,25.37,25.19,24.69,25.25,Prendido
21/03/2022_13:58:07,761,Apagado,Apagado,Prendido,Apagado,25.69,25.37,25.19,24.56,25.25,Prendido
21/03/2022_13:58:12,761,Apagado,Apagado,Prendido,Apagado,25.69,25.37,25.12,24.75,25.25,Prendido
21/03/2022_13:58:18,761,Apagado,Apagado,Apagado,Prendido,25.75,25.37,25.19,24.69,25.25,Prendido
21/03/2022_13:58:24,761,Apagado,Apagado,Apagado,Prendido,25.69,25.37,25.19,24.56,25.25,Prendido
21/03/2022_13:58:30,762,Apagado,Apagado,Apagado,Prendido,25.75,25.37,25.19,24.56,25.25,Prendido
21/03/2022_13:58:36,763,Apagado,Apagado,Apagado,Prendido,25.69,25.37,25.12,24.69,25.25,Prendido
21/03/2022_13:58:42,764,Apagado,Apagado,Apagado,Prendido,25.69,25.37,25.19,24.75,25.25,Prendido
21/03/2022_13:58:48,765,Apagado,Apagado,Apagado,Prendido,25.69,25.37,25.12,24.69,25.25,Prendido
21/03/2022_13:58:53,765,Prendido,Apagado,Apagado,Apagado,25.69,25.31,25.12,24.69,25.25,Prendido
21/03/2022_13:58:59,765,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.12,24.69,25.25,Prendido
21/03/2022_13:59:05,764,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.12,24.62,25.25,Prendido
21/03/2022_13:59:11,765,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.19,24.69,25.25,Prendido
21/03/2022_13:59:17,765,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.12,24.62,25.25,Prendido
21/03/2022_13:59:23,765,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.12,24.69,25.25,Prendido
21/03/2022_13:59:28,767,Apagado,Prendido,Apagado,Apagado,25.69,25.37,25.12,24.69,25.25,Prendido
21/03/2022_13:59:34,769,Apagado,Prendido,Apagado,Apagado,25.69,25.37,25.12,24.56,25.25,Prendido
21/03/2022_13:59:40,770,Apagado,Prendido,Apagado,Apagado,25.69,25.37,25.19,24.62,25.25,Prendido
21/03/2022_13:59:46,770,Apagado,Prendido,Apagado,Apagado,25.69,25.37,25.19,24.75,25.25,Prendido
21/03/2022_13:59:52,770,Apagado,Prendido,Apagado,Apagado,25.75,25.44,25.19,24.69,25.25,Prendido
21/03/2022_13:59:58,770,Apagado,Prendido,Apagado,Apagado,25.69,25.37,25.19,24.69,25.25,Prendido
21/03/2022_14:00:04,768,Apagado,Apagado,Prendido,Apagado,25.69,25.37,25.19,24.62,25.25,Prendido
21/03/2022_14:00:09,768,Apagado,Apagado,Prendido,Apagado,25.75,25.37,25.19,24.69,25.25,Prendido
21/03/2022_14:00:15,768,Apagado,Apagado,Prendido,Apagado,25.69,25.37,25.19,24.69,25.25,Prendido
21/03/2022_14:00:21,769,Apagado,Apagado,Prendido,Apagado,25.75,25.37,25.19,24.62,25.25,Prendido
21/03/2022_14:00:27,770,Apagado,Apagado,Prendido,Apagado,25.75,25.37,25.19,24.69,25.25,Prendido
21/03/2022_14:00:33,772,Apagado,Apagado,Prendido,Apagado,25.69,25.37,25.19,24.62,25.25,Prendido
21/03/2022_14:00:39,774,Apagado,Apagado,Apagado,Prendido,25.69,25.37,25.19,24.69,25.25,Prendido
21/03/2022_14:00:45,774,Apagado,Apagado,Apagado,Prendido,25.69,25.31,25.19,24.69,25.25,Prendido
21/03/2022_14:00:50,775,Apagado,Apagado,Apagado,Prendido,25.69,25.31,25.19,24.69,25.25,Prendido
21/03/2022_14:00:56,775,Apagado,Apagado,Apagado,Prendido,25.75,25.31,25.19,24.75,25.25,Prendido
21/03/2022_14:01:02,777,Apagado,Apagado,Apagado,Prendido,25.69,25.37,25.19,24.75,25.25,Prendido
21/03/2022_14:01:08,776,Apagado,Apagado,Apagado,Prendido,25.69,25.31,25.19,24.56,25.25,Prendido
21/03/2022_14:01:14,775,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.19,24.75,25.19,Prendido
21/03/2022_14:01:20,773,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.25,24.75,25.25,Prendido
21/03/2022_14:01:26,773,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.19,24.75,25.25,Prendido
21/03/2022_14:01:31,773,Prendido,Apagado,Apagado,Apagado,25.75,25.37,25.25,24.75,25.25,Prendido
21/03/2022_14:01:37,773,Prendido,Apagado,Apagado,Apagado,25.75,25.37,25.19,24.69,25.25,Prendido
21/03/2022_14:01:43,773,Prendido,Apagado,Apagado,Apagado,25.69,25.31,25.19,24.62,25.25,Prendido
21/03/2022_14:01:49,773,Apagado,Prendido,Apagado,Apagado,25.69,25.37,25.19,24.69,25.25,Prendido
21/03/2022_14:01:55,774,Apagado,Prendido,Apagado,Apagado,25.75,25.37,25.25,24.75,25.25,Prendido
21/03/2022_14:02:01,774,Apagado,Prendido,Apagado,Apagado,25.69,25.44,25.19,24.62,25.25,Prendido
21/03/2022_14:02:07,774,Apagado,Prendido,Apagado,Apagado,25.69,25.44,25.19,24.56,25.25,Prendido
21/03/2022_14:02:12,774,Apagado,Prendido,Apagado,Apagado,25.69,25.37,25.19,24.69,25.25,Prendido
21/03/2022_14:02:18,774,Apagado,Prendido,Apagado,Apagado,25.75,25.37,25.19,24.62,25.25,Prendido
21/03/2022_14:02:24,775,Apagado,Apagado,Prendido,Apagado,25.69,25.37,25.19,24.75,25.25,Prendido
21/03/2022_14:02:30,775,Apagado,Apagado,Prendido,Apagado,25.69,25.37,25.19,24.75,25.25,Prendido
21/03/2022_14:02:36,777,Apagado,Apagado,Prendido,Apagado,25.69,25.37,25.19,24.75,25.25,Prendido
21/03/2022_14:02:42,777,Apagado,Apagado,Prendido,Apagado,25.69,25.37,25.19,24.69,25.31,Prendido
21/03/2022_14:02:48,778,Apagado,Apagado,Prendido,Apagado,25.69,25.37,25.19,24.62,25.25,Prendido
21/03/2022_14:02:53,780,Apagado,Apagado,Prendido,Apagado,25.75,25.37,25.19,24.56,25.25,Prendido
21/03/2022_14:02:59,780,Apagado,Apagado,Apagado,Prendido,25.75,25.37,25.19,24.75,25.25,Prendido
21/03/2022_14:03:05,781,Apagado,Apagado,Apagado,Prendido,25.69,25.37,25.19,24.75,25.25,Prendido
21/03/2022_14:03:11,782,Apagado,Apagado,Apagado,Prendido,25.69,25.37,25.25,24.75,25.25,Prendido
21/03/2022_14:03:17,783,Apagado,Apagado,Apagado,Prendido,25.75,25.37,25.19,24.69,25.25,Prendido
21/03/2022_14:03:23,784,Apagado,Apagado,Apagado,Prendido,25.69,25.37,25.25,24.69,25.25,Prendido
21/03/2022_14:03:29,784,Apagado,Apagado,Apagado,Prendido,25.69,25.37,25.19,24.75,25.25,Prendido
21/03/2022_14:03:34,785,Prendido,Apagado,Apagado,Apagado,25.69,25.44,25.19,24.62,25.25,Prendido
21/03/2022_14:03:40,785,Prendido,Apagado,Apagado,Apagado,25.69,25.44,25.19,24.75,25.25,Prendido
21/03/2022_14:03:46,786,Prendido,Apagado,Apagado,Apagado,25.75,25.37,25.19,24.75,25.25,Prendido
21/03/2022_14:03:52,787,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.19,24.69,25.25,Prendido
21/03/2022_14:03:58,788,Prendido,Apagado,Apagado,Apagado,25.69,25.37,25.25,24.62,25.25,Prendido
21/03/2022_14:04:04,788,Prendido,Apagado,Apagado,Apagado,25.75,25.37,25.19,24.62,25.25,Prendido
21/03/2022_14:04:10,788,Apagado,Prendido,Apagado,Apagado,25.75,25.37,25.19,24.75,25.25,Prendido
21/03/2022_14:04:15,788,Apagado,Prendido,Apagado,Apagado,25.75,25.44,25.25,24.69,25.25,Prendido
21/03/2022_14:04:21,787,Apagado,Prendido,Apagado,Apagado,25.75,25.37,25.19,24.62,25.25,Prendido
21/03/2022_14:04:27,787,Apagado,Prendido,Apagado,Apagado,25.75,25.44,25.19,24.62,25.25,Prendido
21/03/2022_14:04:33,786,Apagado,Prendido,Apagado,Apagado,25.69,25.37,25.19,24.81,25.25,Prendido
21/03/2022_14:04:39,788,Apagado,Prendido,Apagado,Apagado,25.69,25.44,25.25,24.81,25.25,Prendido
21/03/2022_14:04:45,789,Apagado,Apagado,Prendido,Apagado,25.69,25.37,25.25,24.69,25.25,Prendido
21/03/2022_14:04:51,790,Apagado,Apagado,Prendido,Apagado,25.75,25.37,25.19,24.75,25.25,Prendido
21/03/2022_14:04:56,791,Apagado,Apagado,Prendido,Apagado,25.75,25.44,25.25,24.75,25.31,Prendido
21/03/2022_14:05:02,792,Apagado,Apagado,Prendido,Apagado,25.75,25.44,25.25,24.69,25.25,Prendido
21/03/2022_14:05:08,793,Apagado,Apagado,Prendido,Apagado,25.75,25.37,25.25,24.75,25.25,Prendido
