# nro,Area1,Area2,Area3,Area4
1,1025229,848097.5,1833670.5,695848
2,702128.5,612263,892867,654172
3,628573.5,581724,723867,629827
4,638589,592564.5,655402.5,666482
5,2214476,1006232,2411412,877327
6,1297864.5,870263.5,2274864,788615.5
7,882628,705487.5,1463632.5,742944
