# nro,Area1,Area2,Area3,Area4
1.000000000000000000e+00, 9.886220000000000000e+05, 5.880570000000000000e+05, 9.726110000000000000e+05, 6.379895000000000000e+05
2.000000000000000000e+00, 1.026005500000000000e+06, 5.829825000000000000e+05, 1.286449500000000000e+06, 6.036350000000000000e+05
3.000000000000000000e+00, 1.006854500000000000e+06, 5.648480000000000000e+05, 1.602333500000000000e+06, 5.854950000000000000e+05
4.000000000000000000e+00, 1.093228500000000000e+06, 9.245675000000000000e+05, 1.522171500000000000e+06, 1.059540500000000000e+06
5.000000000000000000e+00, 2.338944000000000000e+06, 9.322785000000000000e+05, 3.925049500000000000e+06, 9.058055000000000000e+05
6.000000000000000000e+00, 1.885632500000000000e+06, 8.253515000000000000e+05, 3.323029500000000000e+06, 8.685265000000000000e+05
7.000000000000000000e+00, 1.497286000000000000e+06, 7.195445000000000000e+05, 2.353336000000000000e+06, 7.588935000000000000e+05
8.000000000000000000e+00, 1.230042000000000000e+06, 6.213635000000000000e+05, 1.809345000000000000e+06, 6.188360000000000000e+05
9.000000000000000000e+00, 9.385095000000000000e+05, 4.524575000000000000e+05, 1.198103000000000000e+06, 5.761425000000000000e+05
1.000000000000000000e+01, 8.079840000000000000e+05, 4.074950000000000000e+05, 1.018620000000000000e+06, 5.427610000000000000e+05
1.100000000000000000e+01, 6.995640000000000000e+05, 3.724885000000000000e+05, 8.841540000000000000e+05, 5.195640000000000000e+05
