Date_Time,CO2,Estado_Valvula_1,Estado_Valvula_2,Estado_Valvula_3,Estado_Valvula_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
23/03/2022_09:37:56,\x
23/03/2022_09:37:58,783,Apagado,Apagado,Apagado,Apagado,54.63,61.56,63.69,48.13,62.63,Prendido
23/03/2022_09:38:04,797,Apagado,Apagado,Apagado,Apagado,54.63,61.56,63.69,48.06,62.56,Prendido
23/03/2022_09:38:10,817,Apagado,Apagado,Apagado,Apagado,54.63,61.50,63.63,48.06,62.50,Prendido
23/03/2022_09:38:16,821,Apagado,Apagado,Apagado,Apagado,54.63,61.56,63.63,48.06,62.50,Prendido
23/03/2022_09:38:22,824,Apagado,Apagado,Apagado,Apagado,54.63,61.50,63.63,48.06,62.44,Prendido
23/03/2022_09:38:28,826,Apagado,Apagado,Apagado,Apagado,54.56,61.50,63.56,48.00,62.44,Prendido
23/03/2022_09:38:33,828,Apagado,Apagado,Apagado,Apagado,54.63,61.50,63.63,48.13,62.44,Prendido
23/03/2022_09:38:39,830,Prendido,Apagado,Apagado,Apagado,54.63,61.50,63.56,48.00,62.44,Prendido
23/03/2022_09:38:45,833,Prendido,Apagado,Apagado,Apagado,54.56,61.44,63.56,47.94,62.50,Prendido
23/03/2022_09:38:51,835,Prendido,Apagado,Apagado,Apagado,54.56,61.44,63.50,48.00,62.56,Prendido
23/03/2022_09:38:57,836,Prendido,Apagado,Apagado,Apagado,54.50,61.38,63.50,48.06,62.63,Prendido
23/03/2022_09:39:03,839,Prendido,Apagado,Apagado,Apagado,54.56,61.38,63.44,48.00,62.69,Prendido
23/03/2022_09:39:09,839,Prendido,Apagado,Apagado,Apagado,54.50,61.31,63.44,48.00,62.69,Prendido
23/03/2022_09:39:15,842,Apagado,Prendido,Apagado,Apagado,54.50,61.38,63.38,47.94,62.75,Prendido
23/03/2022_09:39:20,842,Apagado,Prendido,Apagado,Apagado,54.50,61.31,63.44,48.00,62.69,Prendido
23/03/2022_09:39:26,845,Apagado,Prendido,Apagado,Apagado,54.50,61.31,63.44,48.00,62.63,Prendido
23/03/2022_09:39:32,847,Apagado,Prendido,Apagado,Apagado,54.44,61.31,63.50,47.81,62.56,Prendido
23/03/2022_09:39:38,849,Apagado,Prendido,Apagado,Apagado,54.44,61.31,63.50,47.88,62.50,Prendido
23/03/2022_09:39:44,850,Apagado,Prendido,Apagado,Apagado,54.44,61.25,63.50,47.88,62.44,Prendido
23/03/2022_09:39:50,853,Apagado,Apagado,Prendido,Apagado,54.44,61.25,63.50,47.81,62.44,Prendido
23/03/2022_09:39:56,853,Apagado,Apagado,Prendido,Apagado,54.38,61.25,63.44,47.75,62.38,Prendido
23/03/2022_09:40:01,853,Apagado,Apagado,Prendido,Apagado,54.38,61.25,63.44,47.69,62.31,Prendido
23/03/2022_09:40:07,854,Apagado,Apagado,Prendido,Apagado,54.38,61.31,63.38,47.69,62.25,Prendido
23/03/2022_09:40:13,856,Apagado,Apagado,Prendido,Apagado,54.38,61.31,63.31,47.69,62.25,Prendido
23/03/2022_09:40:19,856,Apagado,Apagado,Prendido,Apagado,54.38,61.38,63.25,47.69,62.19,Prendido
23/03/2022_09:40:25,855,Apagado,Apagado,Apagado,Prendido,54.31,61.38,63.25,47.56,62.13,Prendido
23/03/2022_09:40:31,857,Apagado,Apagado,Apagado,Prendido,54.31,61.31,63.19,47.56,62.13,Prendido
23/03/2022_09:40:37,857,Apagado,Apagado,Apagado,Prendido,54.31,61.31,63.19,47.44,62.06,Prendido
23/03/2022_09:40:42,858,Apagado,Apagado,Apagado,Prendido,54.25,61.25,63.13,47.50,62.00,Prendido
23/03/2022_09:40:48,858,Apagado,Apagado,Apagado,Prendido,54.31,61.25,63.06,47.38,61.94,Prendido
23/03/2022_09:40:54,858,Apagado,Apagado,Apagado,Prendido,54.25,61.19,63.00,47.38,61.94,Prendido
23/03/2022_09:41:00,858,Apagado,Apagado,Apagado,Apagado,54.25,61.19,62.94,47.44,61.88,Prendido
23/03/2022_09:41:06,858,Apagado,Apagado,Apagado,Apagado,54.19,61.13,62.94,47.38,61.88,Prendido
23/03/2022_09:41:12,858,Apagado,Apagado,Apagado,Apagado,54.19,61.13,62.88,47.38,61.81,Prendido
23/03/2022_09:41:18,858,Apagado,Apagado,Apagado,Apagado,54.19,61.06,62.88,47.38,61.75,Prendido
23/03/2022_09:41:23,859,Apagado,Apagado,Apagado,Apagado,54.13,61.06,62.81,47.38,61.75,Prendido
23/03/2022_09:41:29,859,Apagado,Apagado,Apagado,Apagado,54.19,61.06,62.81,47.31,61.75,Prendido
23/03/2022_09:41:35,859,Prendido,Apagado,Apagado,Apagado,54.19,61.00,62.81,47.31,61.69,Prendido
23/03/2022_09:41:41,860,Prendido,Apagado,Apagado,Apagado,54.13,61.00,62.81,47.19,61.75,Prendido
23/03/2022_09:41:47,861,Prendido,Apagado,Apagado,Apagado,54.13,60.94,62.75,47.19,61.81,Prendido
23/03/2022_09:41:53,862,Prendido,Apagado,Apagado,Apagado,54.13,60.94,62.75,47.19,61.88,Prendido
23/03/2022_09:41:59,862,Prendido,Apagado,Apagado,Apagado,54.06,60.94,62.69,47.13,61.88,Prendido
23/03/2022_09:42:05,862,Prendido,Apagado,Apagado,Apagado,54.06,60.88,62.69,47.06,61.88,Prendido
23/03/2022_09:42:10,862,Apagado,Prendido,Apagado,Apagado,54.06,60.88,62.69,47.06,61.88,Prendido
23/03/2022_09:42:16,862,Apagado,Prendido,Apagado,Apagado,54.06,60.81,62.69,47.13,61.81,Prendido
23/03/2022_09:42:22,858,Apagado,Prendido,Apagado,Apagado,54.06,60.81,62.69,47.13,61.81,Prendido
23/03/2022_09:42:28,857,Apagado,Prendido,Apagado,Apagado,54.00,60.75,62.69,47.13,61.75,Prendido
23/03/2022_09:42:34,856,Apagado,Prendido,Apagado,Apagado,54.00,60.75,62.69,47.00,61.69,Prendido
23/03/2022_09:42:40,855,Apagado,Prendido,Apagado,Apagado,53.94,60.75,62.69,47.00,61.63,Prendido
23/03/2022_09:42:46,855,Apagado,Apagado,Prendido,Apagado,53.94,60.75,62.69,47.00,61.56,Prendido
23/03/2022_09:42:51,854,Apagado,Apagado,Prendido,Apagado,53.94,60.75,62.63,47.06,61.56,Prendido
23/03/2022_09:42:57,853,Apagado,Apagado,Prendido,Apagado,53.94,60.75,62.56,46.94,61.50,Prendido
23/03/2022_09:43:03,852,Apagado,Apagado,Prendido,Apagado,53.94,60.75,62.56,47.00,61.44,Prendido
23/03/2022_09:43:09,850,Apagado,Apagado,Prendido,Apagado,53.88,60.75,62.50,46.94,61.38,Prendido
23/03/2022_09:43:15,847,Apagado,Apagado,Prendido,Apagado,53.88,60.75,62.44,46.94,61.38,Prendido
