data
5000
5000
5000
5000
4663
4663
4012
4012
4012
3371
3371
2723
2723
2238
2238
2238
1866
1866
1555
1555
1555
1294
1294
1080
1080
1080
904
904
815
815
815
736
736
666
666
666
601
601
545
545
545
494
494
446
446
446
405
405
391
391
348
348
348
312
312
283
283
283
261
261
244
244
244
230
230
215
215
215
201
201
192
192
192
178
178
170
170
170
161
161
155
155
155
152
152
150
150
147
147
147
144
144
143
143
143
141
141
142
142
142
137
137
135
135
135
134
134
133
133
133
131
131
127
127
127
126
126
124
124
124
124
124
123
123
122
122
122
120
120
120
120
120
118
118
118
118
118
115
115
113
113
113
112
112
111
111
111
111
111
110
110
110
108
108
108
108
108
107
107
107
107
105
105
105
106
106
105
105
105
103
103
102
102
102
103
103
102
102
102
102
102
104
104
104
104
104
103
103
103
101
101
98
98
98
96
96
97
97
97
97
97
95
95
94
94
94
94
94
94
94
94
95
95
95
95
95
94
94
94
94
94
94
94
95
95
95
94
94
94
94
94
95
95
95
95
94
94
94
94
94
93
93
93
92
92
93
93
93
92
92
93
93
93
88
88
90
90
90
88
88
87
87
87
87
87
90
90
90
90
90
90
90
90
90
90
88
88
90
90
90
90
90
93
93
93
93
93
93
93
93
95
95
95
95
95
95
95
95
95
95
95
95
95
95
95
95
95
96
96
96
96
96
96
96
98
98
98
98
98
96
96
96
96
96
96
96
96
96
96
96
96
96
95
95
94
94
94
94
94
94
94
94
93
93
92
92
92
92
92
91
91
93
93
93
95
95
94
94
94
94
94
93
93
93
93
93
93
93
93
94
94
93
93
93
93
93
94
94
94
94
94
95
95
95
95
95
95
95
96
96
96
96
96
93
93
93
93
93
91
91
91
90
90
90
90
90
90
90
88
88
88
90
90
91
91
91
93
93
94
94
94
94
94
94
94
96
96
96
96
96
98
98
98
100
100
101
101
101
100
100
98
98
98
96
96
94
94
94
96
96
93
93
93
94
94
95
95
95
95
95
95
95
93
93
93
93
93
92
92
92
90
90
90
90
90
90
90
88
88
88
87
87
87
87
87
91
91
91
