CO2
0
0
42
52
53
47
45
52
48
45
43
37
40
42
26
31
36
37
47
46
46
52
46
48
42
34
28
37
27
21
24
13
13
27
37
44
44
41
27
36
34
36
38
31
27
31
18
25
27
30
33
28
32
23
23
13
12
16
23
30
28
18
13
10
7
22
22
18
20
11
14
16
14
13
8
10
18
15
18
20
13
12
13
6
7
10
0
8
7
6
15
13
14
15
5
3
6
4
6
6
