# nro,promedio_std1,promedio_std2,promedio_std3,promedio_std4
1.000000000000000000e+00, 1.415143833918692806e+01, 9.205065783573884275e+00, 1.365935384694094168e+01, 6.734094639848281716e+00
2.000000000000000000e+00, 1.957669272371244773e+01, 6.543454555636276204e+00, 9.183987213507265324e+00, 3.803475119778285674e+00
3.000000000000000000e+00, 1.303930991559584562e+01, 1.831133944730889027e+02, 8.941445637095579713e+00, 9.994450098212382727e+00
4.000000000000000000e+00, 2.080337416540253770e+01, 6.443461975712861722e+00, 1.659836079689092969e+01, 4.095053142948284375e+00
5.000000000000000000e+00, 1.477629967028641111e+01, 1.092834405681581345e+01, 2.821220310443631973e+01, 1.034864250533365038e+01
6.000000000000000000e+00, 1.147466798451059233e+01, 9.210633854409802979e+00, 1.405290414307016000e+01, 8.556368002996686428e+00
7.000000000000000000e+00, 5.308475099540694409e+00, 8.721794232565784455e+00, 2.010519467590705389e+01, 3.287252392334348627e+01
8.000000000000000000e+00, 3.223229917334728611e+01, 8.197163562392749725e+01, 1.219421907459381593e+01, 5.220389232122332146e+01
9.000000000000000000e+00, 1.074425279026474200e+01, 8.874327697252223146e+00, 5.182394985674050325e+00, 3.484209679528631476e+00
1.000000000000000000e+01, 1.308637178853942018e+01, 5.832289795192784787e+00, 6.477102702148917146e+00, 5.751496288014958047e+00
1.100000000000000000e+01, 3.206806509950894224e+01, 2.258918555932908490e+01, 8.670811553942515459e+00, 1.236604534655901411e+01
1.200000000000000000e+01, 1.753386562636355350e+01, 6.549311012101661333e+00, 2.124383817859376933e+01, 5.382706428535342091e+00
1.300000000000000000e+01, 1.221290610299885948e+01, 9.999947548584760426e+00, 2.124943900978924205e+01, 2.135299282101686558e+01
1.400000000000000000e+01, 1.341696617705312100e+01, 8.177734787848516262e+00, 1.239335731796060180e+01, 1.239019598370472153e+01
1.500000000000000000e+01, 2.204126890897548563e+01, 7.691897495988240507e+01, 1.161454814152732951e+02, 1.579973299003322218e+01
1.600000000000000000e+01, 3.151736131072140878e+01, 1.854471903113337561e+01, 1.027672485649004130e+01, 3.245965297289320262e+01
1.700000000000000000e+01, 8.041470394848786896e+00, 2.987586034064580787e+01, 1.051999031371039450e+01, 5.955733926914914100e+00
1.800000000000000000e+01, 8.046884366898000351e+00, 9.244341538534616376e+00, 7.721869469758217974e+00, 7.415432625287437851e+00
1.900000000000000000e+01, 1.832578738927389139e+01, 2.297536998805360398e+01, 7.608281754318370282e+00, 4.350792608086018731e+01
2.000000000000000000e+01, 5.095259038795317252e+01, 4.868454737398933219e+01, 1.145029643571013622e+02, 5.471379746317245463e+01
2.100000000000000000e+01, 3.735945387866830458e+01, 3.520507029132193821e+01, 5.729432813739850872e+01, 1.607376169040003333e+01

