# nro,promedio1,promedio2,promedio3,promedio4
1.000000000000000000e+00, 5.764453441295546554e+02, 5.496639676113360338e+02, 6.478542510121457099e+02, 6.120647773279351895e+02
2.000000000000000000e+00, 5.389919028340081013e+02, 5.155020242914979463e+02, 6.083157894736841627e+02, 6.019433198380567092e+02
3.000000000000000000e+00, 5.739311740890688043e+02, 2.077105263157894569e+03, 6.174048582995951620e+02, 6.172874493927125741e+02
4.000000000000000000e+00, 5.068542510121457667e+02, 5.029959514170040507e+02, 5.547975708502024190e+02, 5.796518218623481289e+02
5.000000000000000000e+00, 5.259676113360324052e+02, 5.103024193548387188e+02, 5.250526315789473983e+02, 5.947349397590361377e+02
6.000000000000000000e+00, 5.383333333333333712e+02, 5.361680000000000064e+02, 6.018588709677419502e+02, 5.967338709677419502e+02
7.000000000000000000e+00, 6.076720647773279325e+02, 6.000850202429149931e+02, 6.966518218623481289e+02, 7.569797570850201964e+02
8.000000000000000000e+00, 7.091740890688258787e+02, 1.153914979757085121e+03, 8.533562753036437698e+02, 7.541295546558704928e+02
9.000000000000000000e+00, 5.162955465587044728e+02, 8.008218623481781151e+02, 5.536801619433198312e+02, 5.330445344129554996e+02
1.000000000000000000e+01, 4.521619433198380307e+02, 6.590242914979756961e+02, 5.036477732793522364e+02, 4.980728744939271451e+02
1.100000000000000000e+01, 4.686032388663967367e+02, 6.782914979757084666e+02, 5.197813765182186216e+02, 4.925546558704453446e+02
1.200000000000000000e+01, 4.498178137651821658e+02, 5.580728744939270882e+02, 4.961052631578947398e+02, 5.153846153846153584e+02
1.300000000000000000e+01, 4.637732793522267229e+02, 5.179676113360324052e+02, 4.404170040485830100e+02, 5.222793522267206754e+02
1.400000000000000000e+01, 4.335910931174088887e+02, 5.064210526315789593e+02, 4.300890688259109425e+02, 5.023886639676113077e+02
1.500000000000000000e+01, 4.793603238866396623e+02, 6.808663967611336147e+02, 6.587368421052631220e+02, 4.420040485829959493e+02
1.600000000000000000e+01, 8.580080971659918987e+02, 8.057449392712550207e+02, 6.760161943319837974e+02, 6.060809716599189869e+02
1.700000000000000000e+01, 5.420526315789473983e+02, 7.416518218623481289e+02, 5.750769230769230944e+02, 5.152753036437246692e+02
1.800000000000000000e+01, 4.769311740890688043e+02, 6.820607287449392970e+02, 5.392469635627530806e+02, 4.957813765182186216e+02
1.900000000000000000e+01, 4.335506072874493952e+02, 6.274574898785425603e+02, 6.070688259109311957e+02, 5.559392712550607030e+02
2.000000000000000000e+01, 7.574493927125506616e+02, 8.676801619433198312e+02, 6.352429149797570744e+02, 6.128744939271255134e+02
2.100000000000000000e+01, 6.654453441295546554e+02, 7.537894736842105203e+02, 6.810607287449392970e+02, 6.081214574898785941e+02

