Date_Time, CO2
20/09/2021_14:31:00,777
20/09/2021_14:31:02,775
20/09/2021_14:31:04,775
20/09/2021_14:31:06,774
20/09/2021_14:31:08,774
20/09/2021_14:31:10,774
20/09/2021_14:31:12,772
20/09/2021_14:31:14,772
20/09/2021_14:31:16,770
20/09/2021_14:31:18,770
20/09/2021_14:31:20,770
20/09/2021_14:31:22,766
20/09/2021_14:31:24,766
20/09/2021_14:31:26,764
20/09/2021_14:31:28,764
20/09/2021_14:31:31,764
20/09/2021_14:31:33,760
20/09/2021_14:31:35,760
20/09/2021_14:31:37,757
20/09/2021_14:31:39,757
20/09/2021_14:31:41,757
20/09/2021_14:31:43,754
20/09/2021_14:31:45,754
20/09/2021_14:31:47,751
20/09/2021_14:31:49,751
20/09/2021_14:31:51,751
20/09/2021_14:31:53,748
20/09/2021_14:31:55,748
20/09/2021_14:31:57,747
20/09/2021_14:31:59,747
20/09/2021_14:32:01,747
20/09/2021_14:32:03,747
20/09/2021_14:32:05,747
20/09/2021_14:32:07,745
20/09/2021_14:32:09,745
20/09/2021_14:32:11,745
20/09/2021_14:32:13,742
20/09/2021_14:32:15,742
20/09/2021_14:32:17,740
20/09/2021_14:32:19,740
20/09/2021_14:32:21,740
20/09/2021_14:32:23,738
20/09/2021_14:32:25,738
20/09/2021_14:32:27,737
20/09/2021_14:32:29,737
20/09/2021_14:32:31,733
20/09/2021_14:32:33,733
20/09/2021_14:32:35,733
20/09/2021_14:32:37,731
20/09/2021_14:32:39,731
20/09/2021_14:32:41,731
20/09/2021_14:32:43,731
20/09/2021_14:32:45,731
20/09/2021_14:32:47,731
20/09/2021_14:32:49,731
20/09/2021_14:32:51,729
20/09/2021_14:32:53,729
20/09/2021_14:32:55,729
20/09/2021_14:32:57,727
20/09/2021_14:33:00,727
20/09/2021_14:33:02,725
20/09/2021_14:33:04,725
20/09/2021_14:33:06,725
20/09/2021_14:33:08,724
20/09/2021_14:33:10,724
20/09/2021_14:33:12,717
20/09/2021_14:33:14,717
20/09/2021_14:33:16,717
20/09/2021_14:33:18,715
20/09/2021_14:33:20,715
20/09/2021_14:33:22,715
20/09/2021_14:33:24,715
20/09/2021_14:33:26,715
20/09/2021_14:33:28,714
20/09/2021_14:33:30,714
20/09/2021_14:33:32,713
20/09/2021_14:33:34,713
20/09/2021_14:33:36,713
20/09/2021_14:33:38,713
20/09/2021_14:33:40,713
20/09/2021_14:33:42,712
20/09/2021_14:33:44,712
20/09/2021_14:33:46,710
20/09/2021_14:33:48,710
20/09/2021_14:33:50,710
20/09/2021_14:33:52,709
20/09/2021_14:33:54,709
20/09/2021_14:33:56,706
20/09/2021_14:33:58,706
20/09/2021_14:34:00,706
20/09/2021_14:34:02,706
20/09/2021_14:34:04,706
20/09/2021_14:34:06,708
20/09/2021_14:34:08,708
20/09/2021_14:34:10,708
20/09/2021_14:34:12,706
20/09/2021_14:34:14,706
20/09/2021_14:34:16,707
20/09/2021_14:34:18,707
20/09/2021_14:34:20,707
