Date_Time,CO2,Estado_Valvula_CO2,Estado_Valvula_Compost,Temp_Compost,Temp_Suncho,Estado_Suncho
22/09/2021_13:42:16,0
22/09/2021_13:42:16,,Apagado
22/09/2021_13:42:16,,Prendido
22/09/2021_13:42:16,,-127.00,-127.00,Prendido
22/09/2021_13:42:21,0
22/09/2021_13:42:21,,Apagado
22/09/2021_13:42:21,,Prendido
22/09/2021_13:42:21,,-127.00,-127.00,Prendido
22/09/2021_13:42:26,0
22/09/2021_13:42:26,,Apagado
22/09/2021_13:42:26,,Prendido
22/09/2021_13:42:26,,-127.00,-127.00,Prendido
22/09/2021_13:42:31,0
22/09/2021_13:42:31,,Apagado
22/09/2021_13:42:31,,Prendido
22/09/2021_13:42:31,,-127.00,-127.00,Prendido
22/09/2021_13:42:36,12
22/09/2021_13:42:36,,Prendido
22/09/2021_13:42:36,,Apagado
22/09/2021_13:42:36,,-127.00,-127.00,Prendido
22/09/2021_13:42:41,154
22/09/2021_13:42:41,,Prendido
22/09/2021_13:42:41,,Apagado
22/09/2021_13:42:41,,-127.00,-127.00,Prendido
22/09/2021_13:42:46,221
22/09/2021_13:42:46,,Prendido
22/09/2021_13:42:46,,Apagado
22/09/2021_13:42:46,,-127.00,-127.00,Prendido
22/09/2021_13:42:51,260
22/09/2021_13:42:51,,Apagado
22/09/2021_13:42:51,,Prendido
22/09/2021_13:42:51,,-127.00,-127.00,Prendido
22/09/2021_13:42:56,288
22/09/2021_13:42:56,,Apagado
22/09/2021_13:42:56,,Prendido
22/09/2021_13:42:56,,-127.00,-127.00,Prendido
22/09/2021_13:43:01,311
22/09/2021_13:43:01,,Apagado
22/09/2021_13:43:01,,Prendido
22/09/2021_13:43:01,,-127.00,-127.00,Prendido
22/09/2021_13:43:06,354
22/09/2021_13:43:06,,Prendido
22/09/2021_13:43:06,,Apagado
22/09/2021_13:43:06,,-127.00,-127.00,Prendido
22/09/2021_13:43:11,380
22/09/2021_13:43:11,,Prendido
22/09/2021_13:43:11,,Apagado
22/09/2021_13:43:11,,-127.00,-127.00,Prendido
22/09/2021_13:43:16,400
22/09/2021_13:43:16,,Prendido
22/09/2021_13:43:16,,Apagado
22/09/2021_13:43:16,,-127.00,-127.00,Prendido
22/09/2021_13:43:21,400
22/09/2021_13:43:21,,Apagado
22/09/2021_13:43:21,,Prendido
22/09/2021_13:43:21,,-127.00,-127.00,Prendido
22/09/2021_13:43:26,400
22/09/2021_13:43:26,,Apagado
22/09/2021_13:43:26,,Prendido
22/09/2021_13:43:26,,-127.00,-127.00,Prendido
22/09/2021_13:43:31,401
22/09/2021_13:43:31,,Apagado
22/09/2021_13:43:31,,Prendido
22/09/2021_13:43:31,,-127.00,-127.00,Prendido
22/09/2021_13:43:36,402
22/09/2021_13:43:36,,Prendido
22/09/2021_13:43:36,,Apagado
22/09/2021_13:43:36,,-127.00,-127.00,Prendido
22/09/2021_13:43:41,403
22/09/2021_13:43:41,,Prendido
22/09/2021_13:43:41,,Apagado
22/09/2021_13:43:41,,-127.00,-127.00,Prendido
22/09/2021_13:43:46,403
22/09/2021_13:43:46,,Prendido
22/09/2021_13:43:46,,Apagado
22/09/2021_13:43:46,,-127.00,-127.00,Prendido
22/09/2021_13:43:51,404
22/09/2021_13:43:51,,Apagado
22/09/2021_13:43:51,,Prendido
22/09/2021_13:43:51,,-127.00,-127.00,Prendido
22/09/2021_13:43:56,405
22/09/2021_13:43:56,,Apagado
22/09/2021_13:43:56,,Prendido
22/09/2021_13:43:56,,-127.00,-127.00,Prendido
22/09/2021_13:44:00,
