Date_Time,CO2,Estado_Valvula_CO2,Estado_Valvula_Compost,Temp_Compost,Temp_Suncho,Estado_Suncho
23/10/2021_22:30:03,31,Apagado,Prendido,52.69,49.88,Prendido
23/10/2021_22:30:09,30,Apagado,Prendido,52.69,49.88,Prendido
23/10/2021_22:30:15,31,Apagado,Prendido,52.69,49.88,Prendido
23/10/2021_22:30:20,32,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_22:30:26,32,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_22:30:32,31,Apagado,Prendido,52.63,50.06,Apagado
23/10/2021_22:30:37,31,Apagado,Prendido,52.63,50.06,Apagado
23/10/2021_22:30:43,32,Apagado,Prendido,52.69,50.00,Prendido
23/10/2021_22:30:48,33,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_22:30:54,33,Apagado,Prendido,52.69,50.00,Prendido
23/10/2021_22:31:00,32,Apagado,Prendido,52.69,50.13,Apagado
23/10/2021_22:31:05,32,Apagado,Prendido,52.63,50.19,Apagado
23/10/2021_22:31:11,31,Apagado,Prendido,52.69,50.13,Apagado
23/10/2021_22:31:16,31,Apagado,Prendido,52.63,49.94,Prendido
23/10/2021_22:31:22,30,Apagado,Prendido,52.69,49.88,Prendido
23/10/2021_22:31:28,28,Apagado,Prendido,52.69,50.00,Prendido
23/10/2021_22:31:33,30,Apagado,Prendido,52.75,50.06,Apagado
23/10/2021_22:31:39,31,Apagado,Prendido,52.69,50.13,Apagado
23/10/2021_22:31:45,32,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_22:31:50,33,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_22:31:56,33,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_22:32:01,32,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_22:32:07,31,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_22:32:13,33,Apagado,Prendido,52.69,49.94,Prendido
