Date_Time,CO2,Estado_Valvula_CO2,Estado_Valvula_Compost,Temp_Compost,Temp_Suncho,Estado_Suncho
23/10/2021_21:43:14,52,Apagado,Prendido,52.69,50.19,Apagado
23/10/2021_21:43:19,51,Apagado,Prendido,52.69,50.00,Prendido
23/10/2021_21:43:25,51,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_21:43:31,52,Apagado,Prendido,52.69,50.00,Prendido
23/10/2021_21:43:36,51,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_21:43:42,51,Apagado,Prendido,52.63,50.13,Apagado
23/10/2021_21:43:47,53,Apagado,Prendido,52.69,50.00,Prendido
23/10/2021_21:43:53,52,Apagado,Prendido,52.69,50.13,Apagado
23/10/2021_21:43:59,52,Apagado,Prendido,52.69,50.00,Prendido
23/10/2021_21:44:04,51,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_21:44:10,50,Apagado,Prendido,52.63,50.06,Apagado
23/10/2021_21:44:16,51,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_21:44:21,50,Apagado,Prendido,52.69,49.81,Prendido
23/10/2021_21:44:27,50,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_21:44:32,52,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_21:44:38,52,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_21:44:44,48,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_21:44:49,50,Apagado,Prendido,52.69,49.88,Prendido
23/10/2021_21:44:55,51,Apagado,Prendido,52.69,49.81,Prendido
23/10/2021_21:45:01,51,Apagado,Prendido,52.69,49.88,Prendido
23/10/2021_21:45:06,50,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_21:45:12,52,Apagado,Prendido,52.69,50.13,Apagado
23/10/2021_21:45:17,53,Apagado,Prendido,52.69,50.13,Apagado
23/10/2021_21:45:23,53,Apagado,Prendido,52.69,50.19,Apagado
23/10/2021_21:45:29,52,Apagado,Prendido,52.69,50.13,Apagado
23/10/2021_21:45:34,51,Apagado,Prendido,52.69,50.00,Prendido
23/10/2021_21:45:40,54,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_21:45:46,54,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_21:45:51,55,Apagado,Prendido,52.69,50.00,Prendido
23/10/2021_21:45:57,57,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_21:46:02,58,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_21:46:08,60,Apagado,Prendido,52.69,50.13,Apagado
23/10/2021_21:46:14,58,Apagado,Prendido,52.63,50.06,Apagado
23/10/2021_21:46:19,58,Apagado,Prendido,52.69,49.81,Prendido
23/10/2021_21:46:25,58,Apagado,Prendido,52.69,49.75,Prendido
23/10/2021_21:46:30,58,Apagado,Prendido,52.69,49.75,Prendido
23/10/2021_21:46:36,60,Apagado,Prendido,52.63,49.88,Prendido
23/10/2021_21:46:42,58,Apagado,Prendido,52.69,49.88,Prendido
23/10/2021_21:46:47,57,Apagado,Prendido,52.69,50.13,Apagado
23/10/2021_21:46:53,58,Apagado,Prendido,52.69,50.13,Apagado
23/10/2021_21:46:59,57,Apagado,Prendido,52.63,50.13,Apagado
23/10/2021_21:47:04,57,Apagado,Prendido,52.63,50.06,Apagado
23/10/2021_21:47:10,57,Apagado,Prendido,52.63,49.88,Prendido
23/10/2021_21:47:15,58,Apagado,Prendido,52.63,49.75,Prendido
23/10/2021_21:47:21,60,Apagado,Prendido,52.69,49.81,Prendido
23/10/2021_21:47:27,61,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_21:47:32,61,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_21:47:38,62,Apagado,Prendido,52.69,50.19,Apagado
23/10/2021_21:47:44,63,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_21:47:49,63,Apagado,Prendido,52.69,50.00,Prendido
23/10/2021_21:47:55,64,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_21:48:00,65,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_21:48:06,67,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_21:48:12,68,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_21:48:17,67,Apagado,Prendido,52.69,49.88,Prendido
23/10/2021_21:48:23,67,Apagado,Prendido,52.69,49.88,Prendido
23/10/2021_21:48:29,66,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_21:48:34,67,Apagado,Prendido,52.69,50.00,Prendido
23/10/2021_21:48:40,70,Apagado,Prendido,52.69,50.00,Prendido
23/10/2021_21:48:45,71,Apagado,Prendido,52.75,50.13,Apagado
23/10/2021_21:48:51,71,Apagado,Prendido,52.69,50.25,Apagado
23/10/2021_21:48:57,71,Apagado,Prendido,52.69,50.13,Apagado
23/10/2021_21:49:02,71,Apagado,Prendido,52.69,50.00,Prendido
23/10/2021_21:49:08,72,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_21:49:13,72,Apagado,Prendido,52.69,50.00,Prendido
23/10/2021_21:49:19,71,Apagado,Prendido,52.69,50.13,Apagado
23/10/2021_21:49:25,72,Apagado,Prendido,52.69,50.13,Apagado
23/10/2021_21:49:30,71,Apagado,Prendido,52.69,50.13,Apagado
23/10/2021_21:49:36,72,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_21:49:42,72,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_21:49:47,70,Apagado,Prendido,52.75,49.94,Prendido
23/10/2021_21:49:53,68,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_21:49:58,71,Apagado,Prendido,52.69,50.13,Apagado
23/10/2021_21:50:04,72,Apagado,Prendido,52.69,50.06,Apagado
23/10/2021_21:50:10,72,Apagado,Prendido,52.69,50.00,Prendido
23/10/2021_21:50:15,75,Apagado,Prendido,52.69,49.81,Prendido
23/10/2021_21:50:21,75,Apagado,Prendido,52.69,50.00,Prendido
23/10/2021_21:50:27,77,Apagado,Prendido,52.69,49.94,Prendido
23/10/2021_21:50:32,78,Apagado,Prendido,52.69,50.06,Apagado
