Date_Time,Temp Compost,Temp Suncho,Estado
07/06/2021_18:47:33,57.75,66.19,Apagado
07/06/2021_18:47:34,57.75,66.19,Apagado
07/06/2021_18:47:35,57.75,66.19,Apagado
07/06/2021_18:47:36,57.75,66.19,Apagado
07/06/2021_18:47:37,57.75,66.19,Apagado
07/06/2021_18:47:38,57.75,66.19,Apagado
07/06/2021_18:47:39,57.75,66.19,Apagado
07/06/2021_18:47:40,57.75,66.19,Apagado
07/06/2021_18:47:41,57.75,66.19,Apagado
07/06/2021_18:47:43,57.75,66.19,Apagado
07/06/2021_18:47:44,57.75,66.19,Apagado
07/06/2021_18:47:45,57.75,66.19,Apagado
07/06/2021_18:47:46,57.75,66.19,Apagado
07/06/2021_18:47:47,57.75,66.19,Apagado
07/06/2021_18:47:48,57.75,66.19,Apagado
07/06/2021_18:47:49,57.75,66.19,Apagado
07/06/2021_18:47:50,57.75,66.19,Apagado
07/06/2021_18:47:51,57.75,66.19,Apagado
07/06/2021_18:47:53,57.75,66.19,Apagado
07/06/2021_18:47:54,57.75,66.19,Apagado
07/06/2021_18:47:55,57.75,66.19,Apagado
07/06/2021_18:47:56,57.75,66.19,Apagado
07/06/2021_18:47:57,57.75,66.19,Apagado
07/06/2021_18:47:58,57.75,66.19,Apagado
07/06/2021_18:47:59,57.75,66.19,Apagado
07/06/2021_18:48:00,57.75,66.19,Apagado
07/06/2021_18:48:01,57.75,66.19,Apagado
07/06/2021_18:48:03,57.75,66.19,Apagado
07/06/2021_18:48:04,57.75,66.19,Apagado
07/06/2021_18:48:05,57.75,66.19,Apagado
07/06/2021_18:48:06,57.75,66.19,Apagado
07/06/2021_18:48:07,57.75,66.19,Apagado
07/06/2021_18:48:08,57.75,66.19,Apagado
07/06/2021_18:48:09,57.75,66.19,Apagado
07/06/2021_18:48:10,57.75,66.19,Apagado
07/06/2021_18:48:11,57.75,66.19,Apagado
07/06/2021_18:48:13,57.75,66.19,Apagado
07/06/2021_18:48:14,57.75,66.19,Apagado
07/06/2021_18:48:15,57.75,66.19,Apagado
07/06/2021_18:48:16,57.75,66.19,Apagado
07/06/2021_18:48:17,57.75,66.19,Apagado
07/06/2021_18:48:18,57.75,66.19,Apagado
07/06/2021_18:48:19,57.75,66.19,Apagado
07/06/2021_18:48:20,57.75,66.19,Apagado
07/06/2021_18:48:21,57.75,66.19,Apagado
07/06/2021_18:48:23,57.75,66.19,Apagado
07/06/2021_18:48:24,57.75,66.19,Apagado
07/06/2021_18:48:25,57.75,66.19,Apagado
07/06/2021_18:48:26,57.75,66.19,Apagado
07/06/2021_18:48:27,57.75,66.19,Apagado
07/06/2021_18:48:28,57.75,66.19,Apagado
07/06/2021_18:48:29,57.75,66.19,Apagado
07/06/2021_18:48:30,57.75,66.19,Apagado
07/06/2021_18:48:31,57.75,66.19,Apagado
07/06/2021_18:48:33,57.75,66.19,Apagado
07/06/2021_18:48:34,57.75,66.19,Apagado
07/06/2021_18:48:35,57.75,66.19,Apagado
07/06/2021_18:48:36,57.75,66.19,Apagado
07/06/2021_18:48:37,57.75,66.19,Apagado
07/06/2021_18:48:38,57.75,66.19,Apagado
07/06/2021_18:48:39,57.75,66.19,Apagado
07/06/2021_18:48:40,57.75,66.19,Apagado
07/06/2021_18:48:41,57.75,66.19,Apagado
07/06/2021_18:48:43,57.75,66.19,Apagado
07/06/2021_18:48:44,57.75,66.19,Apagado
07/06/2021_18:48:45,57.75,66.19,Apagado
07/06/2021_18:48:46,57.75,66.19,Apagado
07/06/2021_18:48:47,57.75,66.19,Apagado
07/06/2021_18:48:48,57.75,66.19,Apagado
07/06/2021_18:48:49,57.75,66.19,Apagado
07/06/2021_18:48:50,57.75,66.19,Apagado
07/06/2021_18:48:51,57.75,66.19,Apagado
07/06/2021_18:48:52,57.75,66.19,Apagado
07/06/2021_18:48:54,57.75,66.19,Apagado
07/06/2021_18:48:55,57.75,66.19,Apagado
07/06/2021_18:48:56,57.75,66.19,Apagado
07/06/2021_18:48:57,57.75,66.19,Apagado
07/06/2021_18:48:58,57.75,66.19,Apagado
07/06/2021_18:48:59,57.75,66.19,Apagado
07/06/2021_18:49:00,57.75,66.19,Apagado
07/06/2021_18:49:01,57.75,66.19,Apagado
07/06/2021_18:49:02,57.75,66.19,Apagado
07/06/2021_18:49:04,57.75,66.19,Apagado
07/06/2021_18:49:05,57.75,66.19,Apagado
07/06/2021_18:49:06,57.75,66.19,Apagado
07/06/2021_18:49:07,57.75,66.19,Apagado
07/06/2021_18:49:08,57.75,66.19,Apagado
07/06/2021_18:49:09,57.75,66.19,Apagado
07/06/2021_18:49:10,57.75,66.19,Apagado
07/06/2021_18:49:11,57.75,66.19,Apagado
07/06/2021_18:49:12,57.75,66.19,Apagado
07/06/2021_18:49:14,57.75,66.19,Apagado
07/06/2021_18:49:15,57.75,66.19,Apagado
07/06/2021_18:49:16,57.75,66.19,Apagado
07/06/2021_18:49:17,57.75,66.19,Apagado
07/06/2021_18:49:18,57.75,66.19,Apagado
07/06/2021_18:49:19,57.75,66.19,Apagado
07/06/2021_18:49:20,57.75,66.19,Apagado
07/06/2021_18:49:21,57.75,66.19,Apagado
07/06/2021_18:49:22,57.75,66.19,Apagado
