Date_Time,Temp Compost,Temp Suncho,Estado
07/06/2021_18:45:42,57.75,66.19,Apagado
07/06/2021_18:45:43,57.75,66.19,Apagado
07/06/2021_18:45:44,57.75,66.19,Apagado
07/06/2021_18:45:45,57.75,66.19,Apagado
07/06/2021_18:45:46,57.75,66.19,Apagado
07/06/2021_18:45:47,57.75,66.19,Apagado
07/06/2021_18:45:48,57.75,66.19,Apagado
07/06/2021_18:45:49,57.75,66.19,Apagado
07/06/2021_18:45:50,57.75,66.19,Apagado
07/06/2021_18:45:52,57.75,66.19,Apagado
07/06/2021_18:45:53,57.75,66.19,Apagado
07/06/2021_18:45:54,57.75,66.19,Apagado
07/06/2021_18:45:55,57.75,66.19,Apagado
07/06/2021_18:45:56,57.75,66.19,Apagado
07/06/2021_18:45:57,57.75,66.19,Apagado
07/06/2021_18:45:58,57.75,66.19,Apagado
07/06/2021_18:45:59,57.75,66.19,Apagado
07/06/2021_18:46:00,57.75,66.19,Apagado
07/06/2021_18:46:02,57.75,66.19,Apagado
07/06/2021_18:46:03,57.75,66.19,Apagado
07/06/2021_18:46:04,57.75,66.19,Apagado
07/06/2021_18:46:05,57.75,66.19,Apagado
07/06/2021_18:46:06,57.75,66.19,Apagado
07/06/2021_18:46:07,57.75,66.19,Apagado
07/06/2021_18:46:08,57.75,66.19,Apagado
07/06/2021_18:46:09,57.75,66.19,Apagado
07/06/2021_18:46:10,57.75,66.19,Apagado
07/06/2021_18:46:12,57.75,66.19,Apagado
07/06/2021_18:46:13,57.75,66.19,Apagado
07/06/2021_18:46:14,57.75,66.19,Apagado
07/06/2021_18:46:15,57.75,66.19,Apagado
07/06/2021_18:46:16,57.75,66.19,Apagado
07/06/2021_18:46:17,57.75,66.19,Apagado
07/06/2021_18:46:18,57.75,66.19,Apagado
07/06/2021_18:46:19,57.75,66.19,Apagado
07/06/2021_18:46:20,57.75,66.19,Apagado
07/06/2021_18:46:22,57.75,66.19,Apagado
07/06/2021_18:46:23,57.75,66.19,Apagado
07/06/2021_18:46:24,57.75,66.19,Apagado
07/06/2021_18:46:25,57.75,66.19,Apagado
07/06/2021_18:46:26,57.75,66.19,Apagado
07/06/2021_18:46:27,57.75,66.19,Apagado
07/06/2021_18:46:28,57.75,66.19,Apagado
07/06/2021_18:46:29,57.75,66.19,Apagado
07/06/2021_18:46:30,57.75,66.19,Apagado
07/06/2021_18:46:32,57.75,66.19,Apagado
07/06/2021_18:46:33,57.75,66.19,Apagado
07/06/2021_18:46:34,57.75,66.19,Apagado
07/06/2021_18:46:35,57.75,66.19,Apagado
07/06/2021_18:46:36,57.75,66.19,Apagado
07/06/2021_18:46:37,57.75,66.19,Apagado
07/06/2021_18:46:38,57.75,66.19,Apagado
07/06/2021_18:46:39,57.75,66.19,Apagado
07/06/2021_18:46:40,57.75,66.19,Apagado
07/06/2021_18:46:42,57.75,66.19,Apagado
07/06/2021_18:46:43,57.75,66.19,Apagado
07/06/2021_18:46:44,57.75,66.19,Apagado
07/06/2021_18:46:45,57.75,66.19,Apagado
07/06/2021_18:46:46,57.75,66.19,Apagado
07/06/2021_18:46:47,57.75,66.19,Apagado
07/06/2021_18:46:48,57.75,66.19,Apagado
07/06/2021_18:46:49,57.75,66.19,Apagado
07/06/2021_18:46:50,57.75,66.19,Apagado
07/06/2021_18:46:51,57.75,66.19,Apagado
07/06/2021_18:46:53,57.75,66.19,Apagado
07/06/2021_18:46:54,57.75,66.19,Apagado
07/06/2021_18:46:55,57.75,66.19,Apagado
07/06/2021_18:46:56,57.75,66.19,Apagado
07/06/2021_18:46:57,57.75,66.19,Apagado
07/06/2021_18:46:58,57.75,66.19,Apagado
07/06/2021_18:46:59,57.75,66.19,Apagado
07/06/2021_18:47:00,57.75,66.19,Apagado
07/06/2021_18:47:01,57.75,66.19,Apagado
07/06/2021_18:47:03,57.75,66.19,Apagado
07/06/2021_18:47:04,57.75,66.19,Apagado
07/06/2021_18:47:05,57.75,66.19,Apagado
07/06/2021_18:47:06,57.75,66.19,Apagado
07/06/2021_18:47:07,57.75,66.19,Apagado
07/06/2021_18:47:08,57.75,66.19,Apagado
07/06/2021_18:47:09,57.75,66.19,Apagado
07/06/2021_18:47:10,57.75,66.19,Apagado
07/06/2021_18:47:11,57.75,66.19,Apagado
07/06/2021_18:47:13,57.75,66.19,Apagado
07/06/2021_18:47:14,57.75,66.19,Apagado
07/06/2021_18:47:15,57.75,66.19,Apagado
07/06/2021_18:47:16,57.75,66.19,Apagado
07/06/2021_18:47:17,57.75,66.19,Apagado
07/06/2021_18:47:18,57.75,66.19,Apagado
07/06/2021_18:47:19,57.75,66.19,Apagado
07/06/2021_18:47:20,57.75,66.19,Apagado
07/06/2021_18:47:21,57.75,66.19,Apagado
07/06/2021_18:47:23,57.75,66.19,Apagado
07/06/2021_18:47:24,57.75,66.19,Apagado
07/06/2021_18:47:25,57.75,66.19,Apagado
07/06/2021_18:47:26,57.75,66.19,Apagado
07/06/2021_18:47:27,57.75,66.19,Apagado
07/06/2021_18:47:28,57.75,66.19,Apagado
07/06/2021_18:47:29,57.75,66.19,Apagado
07/06/2021_18:47:30,57.75,66.19,Apagado
07/06/2021_18:47:31,57.75,66.19,Apagado
