Date_Time,Temp Compost,Temp Suncho,Estado
07/06/2021_18:49:24,57.75,66.19,Apagado
07/06/2021_18:49:25,57.75,66.19,Apagado
07/06/2021_18:49:26,57.75,66.19,Apagado
07/06/2021_18:49:27,57.75,66.19,Apagado
07/06/2021_18:49:28,57.75,66.19,Apagado
07/06/2021_18:49:29,57.75,66.19,Apagado
07/06/2021_18:49:30,57.75,66.19,Apagado
07/06/2021_18:49:31,57.75,66.19,Apagado
07/06/2021_18:49:32,57.75,66.19,Apagado
07/06/2021_18:49:34,57.75,66.19,Apagado
07/06/2021_18:49:35,57.75,66.19,Apagado
07/06/2021_18:49:36,57.75,66.19,Apagado
07/06/2021_18:49:37,57.75,66.19,Apagado
07/06/2021_18:49:38,57.75,66.19,Apagado
07/06/2021_18:49:39,57.75,66.19,Apagado
07/06/2021_18:49:40,57.75,66.19,Apagado
07/06/2021_18:49:41,57.75,66.19,Apagado
07/06/2021_18:49:42,57.75,66.19,Apagado
07/06/2021_18:49:44,57.75,66.19,Apagado
07/06/2021_18:49:45,57.75,66.19,Apagado
07/06/2021_18:49:46,57.75,66.19,Apagado
07/06/2021_18:49:47,57.75,66.19,Apagado
07/06/2021_18:49:48,57.75,66.19,Apagado
07/06/2021_18:49:49,57.75,66.19,Apagado
07/06/2021_18:49:50,57.75,66.19,Apagado
07/06/2021_18:49:51,57.75,66.19,Apagado
07/06/2021_18:49:52,57.75,66.19,Apagado
07/06/2021_18:49:54,57.75,66.19,Apagado
07/06/2021_18:49:55,57.75,66.19,Apagado
07/06/2021_18:49:56,57.75,66.19,Apagado
07/06/2021_18:49:57,57.75,66.19,Apagado
07/06/2021_18:49:58,57.75,66.19,Apagado
07/06/2021_18:49:59,57.75,66.19,Apagado
07/06/2021_18:50:00,57.75,66.19,Apagado
07/06/2021_18:50:01,57.75,66.19,Apagado
07/06/2021_18:50:02,57.75,66.19,Apagado
07/06/2021_18:50:04,57.75,66.19,Apagado
07/06/2021_18:50:05,57.75,66.19,Apagado
07/06/2021_18:50:06,57.75,66.19,Apagado
07/06/2021_18:50:07,57.75,66.19,Apagado
07/06/2021_18:50:08,57.75,66.19,Apagado
07/06/2021_18:50:09,57.75,66.19,Apagado
07/06/2021_18:50:10,57.75,66.19,Apagado
07/06/2021_18:50:11,57.75,66.19,Apagado
07/06/2021_18:50:12,57.75,66.19,Apagado
07/06/2021_18:50:14,57.75,66.19,Apagado
07/06/2021_18:50:15,57.75,66.19,Apagado
07/06/2021_18:50:16,57.75,66.19,Apagado
07/06/2021_18:50:17,57.75,66.19,Apagado
07/06/2021_18:50:18,57.75,66.19,Apagado
07/06/2021_18:50:19,57.75,66.19,Apagado
07/06/2021_18:50:20,57.75,66.19,Apagado
07/06/2021_18:50:21,57.75,66.19,Apagado
07/06/2021_18:50:22,57.75,66.19,Apagado
07/06/2021_18:50:24,57.75,66.19,Apagado
07/06/2021_18:50:25,57.75,66.19,Apagado
07/06/2021_18:50:26,57.75,66.19,Apagado
07/06/2021_18:50:27,57.75,66.19,Apagado
07/06/2021_18:50:28,57.75,66.19,Apagado
07/06/2021_18:50:29,57.75,66.19,Apagado
07/06/2021_18:50:30,57.75,66.19,Apagado
07/06/2021_18:50:31,57.75,66.19,Apagado
07/06/2021_18:50:32,57.75,66.19,Apagado
07/06/2021_18:50:34,57.75,66.19,Apagado
07/06/2021_18:50:35,57.75,66.19,Apagado
