# nro,promedio_std1,promedio_std2,promedio_std3,promedio_std4
1.000000000000000000e+00, 2.252959647450447278e+01, 3.897915954861258570e+01, 3.329575824221056024e+01, 1.252297074745139582e+01
2.000000000000000000e+00, 6.230936275326809159e+00, 1.618426002580079981e+01, 1.506475284709904550e+01, 1.828405524122554127e+01
3.000000000000000000e+00, 6.007636089993711792e+00, 6.974271494753091716e+00, 5.502547096913787961e+00, 1.297285270512070987e+01
4.000000000000000000e+00, 1.568111787316627925e+01, 2.324427704367229808e+01, 1.180336443095988841e+01, 2.242315797134422084e+01
5.000000000000000000e+00, 9.292682485601059028e+00, 6.259858228602856123e+00, 9.286487495589325292e+00, 1.222826088912358955e+01
6.000000000000000000e+00, 1.605046725355732562e+01, 1.066179707943604704e+01, 8.532398029012105312e+00, 1.915319106120549364e+01
7.000000000000000000e+00, 9.556462122551371507e+00, 5.960550979164323415e+00, 8.632125830560870128e+00, 1.632108291583141479e+01
8.000000000000000000e+00, 9.792051846708009322e+00, 9.513892665437296614e+00, 1.087902992629515886e+01, 2.325377648050218227e+01
9.000000000000000000e+00, 7.373064337589705808e+00, 2.193127012779429919e+01, 4.577735496873518883e+00, 1.845703830371523679e+01
1.000000000000000000e+01, 1.070761191130044310e+01, 9.651616374194928127e+00, 9.070353037991496947e+00, 1.289029026098103081e+01
1.100000000000000000e+01, 6.811812778223936604e+00, 8.231861459220953137e+00, 4.000512186716693286e+00, 6.089208801905623858e+00

