Date_Time,CO2,Estado_Valvula_1,Estado_Valvula_2,Estado_Valvula_3,Estado_Valvula_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
23/03/2022_11:29:24,1842,Apagado,Prendido,Apagado,Apagado,44.81,53.31,59.75,54.31,53.44,Prendido
23/03/2022_11:29:30,1844,Apagado,Prendido,Apagado,Apagado,44.88,53.38,59.75,54.25,53.50,Prendido
23/03/2022_11:29:36,1845,Apagado,Prendido,Apagado,Apagado,44.88,53.38,59.81,54.38,53.50,Prendido
23/03/2022_11:29:42,1845,Apagado,Prendido,Apagado,Apagado,44.88,53.38,59.81,54.31,53.50,Prendido
23/03/2022_11:29:47,1844,Apagado,Prendido,Apagado,Apagado,44.88,53.38,59.88,54.44,53.50,Prendido
23/03/2022_11:29:53,1846,Apagado,Prendido,Apagado,Apagado,44.88,53.44,59.81,54.38,53.50,Prendido
23/03/2022_11:29:59,1847,Apagado,Prendido,Apagado,Apagado,44.88,53.44,59.88,54.50,53.56,Prendido
23/03/2022_11:30:05,1849,Apagado,Prendido,Apagado,Apagado,44.94,53.50,59.88,54.50,53.56,Prendido
23/03/2022_11:30:11,1849,Apagado,Prendido,Apagado,Apagado,44.94,53.50,59.88,54.50,53.56,Prendido
23/03/2022_11:30:17,1853,Apagado,Prendido,Apagado,Apagado,44.94,53.50,59.94,54.56,53.63,Prendido
23/03/2022_11:30:23,1856,Apagado,Prendido,Apagado,Apagado,44.94,53.50,59.94,54.50,53.63,Prendido
23/03/2022_11:30:28,1857,Apagado,Prendido,Apagado,Apagado,44.94,53.56,59.94,54.50,53.63,Prendido
23/03/2022_11:30:34,1858,Apagado,Prendido,Apagado,Apagado,44.94,53.56,60.00,54.50,53.63,Prendido
23/03/2022_11:30:40,1859,Apagado,Prendido,Apagado,Apagado,44.94,53.56,60.06,54.50,53.69,Prendido
23/03/2022_11:30:46,1862,Apagado,Prendido,Apagado,Apagado,45.00,53.63,60.00,54.44,53.69,Prendido
23/03/2022_11:30:52,1865,Apagado,Prendido,Apagado,Apagado,45.00,53.63,60.06,54.56,53.69,Prendido
23/03/2022_11:30:58,1865,Apagado,Prendido,Apagado,Apagado,45.00,53.63,60.13,54.63,53.69,Prendido
23/03/2022_11:31:04,1865,Apagado,Prendido,Apagado,Apagado,45.00,53.69,60.13,54.63,53.75,Prendido
