Date_Time,Temp_Compost,Temp_Suncho,Estado
14/06/2021_23:58:08,51.06,54.56,Prendido
14/06/2021_23:58:10,51.06,54.56,Prendido
14/06/2021_23:58:12,51.06,54.63,Prendido
14/06/2021_23:58:13,51.06,54.56,Prendido
14/06/2021_23:58:15,51.06,54.63,Prendido
14/06/2021_23:58:16,51.06,54.56,Prendido
14/06/2021_23:58:18,51.06,54.63,Prendido
14/06/2021_23:58:20,51.06,54.56,Prendido
14/06/2021_23:58:21,51.06,54.63,Prendido
14/06/2021_23:58:23,51.06,54.69,Prendido
14/06/2021_23:58:24,51.06,54.75,Prendido
14/06/2021_23:58:26,51.06,54.81,Prendido
14/06/2021_23:58:28,51.06,54.88,Prendido
14/06/2021_23:58:29,51.06,54.94,Prendido
14/06/2021_23:58:31,51.06,55.00,Prendido
14/06/2021_23:58:32,51.06,55.06,Apagado
14/06/2021_23:58:34,51.19,55.25,Apagado
14/06/2021_23:58:36,51.25,55.31,Apagado
14/06/2021_23:58:37,51.25,55.31,Apagado
14/06/2021_23:58:39,51.25,55.31,Apagado
14/06/2021_23:58:40,51.19,55.25,Apagado
14/06/2021_23:58:42,51.25,55.31,Apagado
14/06/2021_23:58:44,51.19,55.25,Apagado
14/06/2021_23:58:45,51.25,55.19,Apagado
14/06/2021_23:58:47,51.25,55.13,Apagado
14/06/2021_23:58:49,51.19,55.06,Apagado
14/06/2021_23:58:50,51.25,55.00,Prendido
14/06/2021_23:58:52,51.06,54.81,Prendido
14/06/2021_23:58:53,51.06,54.75,Prendido
14/06/2021_23:58:55,51.06,54.69,Prendido
14/06/2021_23:58:57,51.06,54.63,Prendido
14/06/2021_23:58:58,51.06,54.63,Prendido
14/06/2021_23:59:00,51.06,54.63,Prendido
14/06/2021_23:59:01,51.06,54.63,Prendido
14/06/2021_23:59:03,51.06,54.56,Prendido
14/06/2021_23:59:05,51.06,54.56,Prendido
14/06/2021_23:59:06,51.06,54.63,Prendido
14/06/2021_23:59:08,51.06,54.63,Prendido
14/06/2021_23:59:09,51.06,54.69,Prendido
14/06/2021_23:59:11,51.06,54.69,Prendido
14/06/2021_23:59:13,51.06,54.69,Prendido
14/06/2021_23:59:14,51.06,54.81,Prendido
14/06/2021_23:59:16,51.06,54.81,Prendido
14/06/2021_23:59:17,51.06,54.88,Prendido
14/06/2021_23:59:19,51.06,54.88,Prendido
14/06/2021_23:59:21,51.06,54.94,Prendido
14/06/2021_23:59:22,51.06,54.94,Prendido
14/06/2021_23:59:24,51.06,55.00,Prendido
14/06/2021_23:59:26,51.00,55.00,Prendido
14/06/2021_23:59:27,51.06,55.00,Prendido
14/06/2021_23:59:29,51.06,55.00,Prendido
14/06/2021_23:59:30,51.06,55.00,Prendido
14/06/2021_23:59:32,51.06,55.06,Apagado
14/06/2021_23:59:34,51.19,55.31,Apagado
14/06/2021_23:59:35,51.19,55.31,Apagado
14/06/2021_23:59:37,51.25,55.31,Apagado
14/06/2021_23:59:38,51.19,55.38,Apagado
14/06/2021_23:59:40,51.19,55.31,Apagado
14/06/2021_23:59:42,51.19,55.31,Apagado
14/06/2021_23:59:43,51.25,55.25,Apagado
14/06/2021_23:59:45,51.19,55.19,Apagado
14/06/2021_23:59:46,51.19,55.13,Apagado
14/06/2021_23:59:48,51.19,55.00,Prendido
14/06/2021_23:59:50,51.06,54.75,Prendido
14/06/2021_23:59:51,51.06,54.69,Prendido
14/06/2021_23:59:53,51.06,54.63,Prendido
14/06/2021_23:59:54,51.06,54.56,Prendido
14/06/2021_23:59:56,51.06,54.56,Prendido
14/06/2021_23:59:58,51.06,54.56,Prendido
14/06/2021_23:59:59,51.06,54.56,Prendido
15/06/2021_00:00:01,51.06,54.56,Prendido
15/06/2021_00:00:03,51.06,54.56,Prendido
15/06/2021_00:00:04,51.06,54.56,Prendido
15/06/2021_00:00:06,51.06,54.56,Prendido
15/06/2021_00:00:07,51.06,54.63,Prendido
15/06/2021_00:00:09,51.06,54.63,Prendido
15/06/2021_00:00:11,51.06,54.69,Prendido
15/06/2021_00:00:12,51.06,54.75,Prendido
15/06/2021_00:00:14,51.06,54.75,Prendido
15/06/2021_00:00:15,51.06,54.75,Prendido
15/06/2021_00:00:17,51.13,54.81,Prendido
15/06/2021_00:00:19,51.06,54.88,Prendido
15/06/2021_00:00:20,51.06,54.88,Prendido
15/06/2021_00:00:22,51.06,54.88,Prendido
15/06/2021_00:00:23,51.06,54.94,Prendido
15/06/2021_00:00:25,51.13,54.94,Prendido
15/06/2021_00:00:27,51.06,54.94,Prendido
15/06/2021_00:00:28,51.06,54.94,Prendido
15/06/2021_00:00:30,51.06,54.94,Prendido
15/06/2021_00:00:31,51.06,54.94,Prendido
15/06/2021_00:00:33,51.13,55.00,Prendido
15/06/2021_00:00:35,51.06,54.94,Prendido
15/06/2021_00:00:36,51.06,54.94,Prendido
15/06/2021_00:00:38,51.06,55.00,Prendido
15/06/2021_00:00:40,51.06,55.00,Prendido
15/06/2021_00:00:41,51.06,55.06,Apagado
15/06/2021_00:00:43,51.25,55.19,Apagado
15/06/2021_00:00:44,51.25,55.19,Apagado
15/06/2021_00:00:46,51.25,55.25,Apagado
15/06/2021_00:00:48,51.25,55.25,Apagado
