Date_Time,CO2
13/10/2021_22:40:19,0
13/10/2021_22:40:24,0
13/10/2021_22:40:29,0
13/10/2021_22:40:34,0
13/10/2021_22:40:39,0
13/10/2021_22:40:44,0
13/10/2021_22:40:49,0
13/10/2021_22:40:54,0
13/10/2021_22:40:59,0
13/10/2021_22:41:04,0
13/10/2021_22:41:09,0
13/10/2021_22:41:14,0
13/10/2021_22:41:19,0
13/10/2021_22:41:24,0
13/10/2021_22:41:29,0
13/10/2021_22:41:34,0
13/10/2021_22:41:39,0
13/10/2021_22:41:44,0
13/10/2021_22:41:49,0
13/10/2021_22:41:54,0
13/10/2021_22:41:59,0
13/10/2021_22:42:04,0
13/10/2021_22:42:09,0
13/10/2021_22:42:14,0
13/10/2021_22:42:19,0
13/10/2021_22:42:24,0
13/10/2021_22:42:29,0
13/10/2021_22:42:34,0
13/10/2021_22:42:39,0
13/10/2021_22:42:44,0
13/10/2021_22:42:50,0
13/10/2021_22:42:55,0
13/10/2021_22:43:00,0
13/10/2021_22:43:05,0
13/10/2021_22:43:10,0
13/10/2021_22:43:15,0
13/10/2021_22:43:20,0
13/10/2021_22:43:25,0
13/10/2021_22:43:30,0
13/10/2021_22:43:35,0
13/10/2021_22:43:40,0
13/10/2021_22:43:45,0
13/10/2021_22:43:50,0
13/10/2021_22:43:55,0
13/10/2021_22:44:00,0
13/10/2021_22:44:05,0
13/10/2021_22:44:10,0
13/10/2021_22:44:15,0
13/10/2021_22:44:20,0
13/10/2021_22:44:25,0
13/10/2021_22:44:30,0
13/10/2021_22:44:35,0
13/10/2021_22:44:40,0
13/10/2021_22:44:45,0
13/10/2021_22:44:50,0
13/10/2021_22:44:55,0
13/10/2021_22:45:00,0
13/10/2021_22:45:05,0
13/10/2021_22:45:10,0
13/10/2021_22:45:15,0
13/10/2021_22:45:20,0
13/10/2021_22:45:25,0
13/10/2021_22:45:30,0
13/10/2021_22:45:35,0
13/10/2021_22:45:40,0
13/10/2021_22:45:45,0
13/10/2021_22:45:50,0
13/10/2021_22:45:55,0
13/10/2021_22:46:00,0
13/10/2021_22:46:05,0
13/10/2021_22:46:10,0
13/10/2021_22:46:15,0
13/10/2021_22:46:20,0
13/10/2021_22:46:25,0
13/10/2021_22:46:30,0
13/10/2021_22:46:35,0
13/10/2021_22:46:41,0
13/10/2021_22:46:46,0
13/10/2021_22:46:51,0
13/10/2021_22:46:56,0
13/10/2021_22:47:01,0
13/10/2021_22:47:06,0
13/10/2021_22:47:11,0
13/10/2021_22:47:16,0
13/10/2021_22:47:21,0
13/10/2021_22:47:26,0
13/10/2021_22:47:31,0
13/10/2021_22:47:36,0
13/10/2021_22:47:41,0
13/10/2021_22:47:46,0
13/10/2021_22:47:51,0
13/10/2021_22:47:56,0
13/10/2021_22:48:01,0
13/10/2021_22:48:06,0
13/10/2021_22:48:11,0
13/10/2021_22:48:16,0
13/10/2021_22:48:21,0
13/10/2021_22:48:26,0
13/10/2021_22:48:31,0
13/10/2021_22:48:36,0
