Date_Time,CO2
14/10/2021_01:52:49,0
14/10/2021_01:52:54,0
14/10/2021_01:52:59,0
14/10/2021_01:53:04,0
14/10/2021_01:53:09,0
14/10/2021_01:53:14,0
14/10/2021_01:53:19,0
14/10/2021_01:53:24,0
14/10/2021_01:53:29,0
14/10/2021_01:53:34,0
14/10/2021_01:53:39,0
14/10/2021_01:53:44,0
14/10/2021_01:53:49,0
14/10/2021_01:53:54,0
14/10/2021_01:53:59,0
14/10/2021_01:54:04,0
14/10/2021_01:54:09,0
14/10/2021_01:54:14,0
14/10/2021_01:54:19,0
14/10/2021_01:54:24,0
14/10/2021_01:54:29,0
14/10/2021_01:54:34,0
14/10/2021_01:54:39,0
14/10/2021_01:54:44,0
14/10/2021_01:54:49,0
14/10/2021_01:54:55,0
14/10/2021_01:55:00,0
14/10/2021_01:55:05,0
14/10/2021_01:55:10,0
14/10/2021_01:55:15,0
14/10/2021_01:55:20,0
14/10/2021_01:55:25,0
14/10/2021_01:55:30,0
14/10/2021_01:55:35,0
14/10/2021_01:55:40,0
14/10/2021_01:55:45,0
14/10/2021_01:55:50,0
14/10/2021_01:55:55,0
14/10/2021_01:56:00,0
14/10/2021_01:56:05,0
14/10/2021_01:56:10,0
14/10/2021_01:56:15,0
14/10/2021_01:56:20,0
14/10/2021_01:56:25,0
14/10/2021_01:56:30,0
14/10/2021_01:56:35,0
14/10/2021_01:56:40,0
14/10/2021_01:56:45,0
14/10/2021_01:56:50,0
14/10/2021_01:56:55,0
14/10/2021_01:57:00,0
14/10/2021_01:57:05,0
14/10/2021_01:57:10,0
14/10/2021_01:57:15,0
14/10/2021_01:57:20,0
14/10/2021_01:57:25,0
14/10/2021_01:57:30,0
14/10/2021_01:57:35,0
14/10/2021_01:57:40,0
14/10/2021_01:57:45,0
14/10/2021_01:57:50,0
14/10/2021_01:57:55,0
14/10/2021_01:58:00,0
14/10/2021_01:58:05,0
14/10/2021_01:58:10,0
14/10/2021_01:58:15,0
14/10/2021_01:58:20,0
14/10/2021_01:58:25,0
14/10/2021_01:58:30,0
14/10/2021_01:58:35,0
14/10/2021_01:58:40,0
14/10/2021_01:58:46,0
14/10/2021_01:58:51,0
14/10/2021_01:58:56,0
14/10/2021_01:59:01,0
14/10/2021_01:59:06,0
14/10/2021_01:59:11,0
14/10/2021_01:59:16,0
14/10/2021_01:59:21,0
14/10/2021_01:59:26,0
14/10/2021_01:59:31,0
14/10/2021_01:59:36,0
14/10/2021_01:59:41,0
14/10/2021_01:59:46,0
14/10/2021_01:59:51,0
14/10/2021_01:59:56,0
14/10/2021_02:00:01,0
14/10/2021_02:00:06,0
14/10/2021_02:00:11,0
14/10/2021_02:00:16,0
14/10/2021_02:00:21,0
14/10/2021_02:00:26,0
14/10/2021_02:00:31,0
14/10/2021_02:00:36,0
14/10/2021_02:00:41,0
14/10/2021_02:00:46,0
14/10/2021_02:00:51,0
14/10/2021_02:00:56,0
14/10/2021_02:01:01,0
14/10/2021_02:01:06,0
