Date_Time,CO2
14/10/2021_09:24:47,0
14/10/2021_09:24:52,0
14/10/2021_09:24:57,0
14/10/2021_09:25:02,0
14/10/2021_09:25:07,0
14/10/2021_09:25:12,0
14/10/2021_09:25:17,0
14/10/2021_09:25:22,0
14/10/2021_09:25:27,0
14/10/2021_09:25:32,0
14/10/2021_09:25:37,0
14/10/2021_09:25:42,0
14/10/2021_09:25:47,0
14/10/2021_09:25:52,0
14/10/2021_09:25:57,0
14/10/2021_09:26:02,0
14/10/2021_09:26:07,0
14/10/2021_09:26:12,0
14/10/2021_09:26:17,0
14/10/2021_09:26:22,0
14/10/2021_09:26:27,0
14/10/2021_09:26:32,0
14/10/2021_09:26:37,0
14/10/2021_09:26:42,0
14/10/2021_09:26:47,0
14/10/2021_09:26:52,0
14/10/2021_09:26:57,0
14/10/2021_09:27:02,0
14/10/2021_09:27:07,0
14/10/2021_09:27:12,0
14/10/2021_09:27:17,0
14/10/2021_09:27:22,0
14/10/2021_09:27:27,0
14/10/2021_09:27:32,0
14/10/2021_09:27:37,0
14/10/2021_09:27:42,0
14/10/2021_09:27:47,0
14/10/2021_09:27:52,0
14/10/2021_09:27:57,0
14/10/2021_09:28:02,0
14/10/2021_09:28:08,0
14/10/2021_09:28:13,0
14/10/2021_09:28:18,0
14/10/2021_09:28:23,0
14/10/2021_09:28:28,0
14/10/2021_09:28:33,0
14/10/2021_09:28:38,0
14/10/2021_09:28:43,0
14/10/2021_09:28:48,0
14/10/2021_09:28:53,0
14/10/2021_09:28:58,0
14/10/2021_09:29:03,0
14/10/2021_09:29:08,0
14/10/2021_09:29:13,0
14/10/2021_09:29:18,0
14/10/2021_09:29:23,0
14/10/2021_09:29:28,0
14/10/2021_09:29:33,0
14/10/2021_09:29:38,0
14/10/2021_09:29:43,0
14/10/2021_09:29:48,0
14/10/2021_09:29:53,0
14/10/2021_09:29:58,0
14/10/2021_09:30:03,0
14/10/2021_09:30:08,0
14/10/2021_09:30:13,0
14/10/2021_09:30:18,0
14/10/2021_09:30:23,0
14/10/2021_09:30:28,0
14/10/2021_09:30:33,0
14/10/2021_09:30:38,0
14/10/2021_09:30:43,0
14/10/2021_09:30:48,0
14/10/2021_09:30:53,0
14/10/2021_09:30:58,0
14/10/2021_09:31:03,0
14/10/2021_09:31:08,0
14/10/2021_09:31:13,0
14/10/2021_09:31:18,0
14/10/2021_09:31:23,0
14/10/2021_09:31:28,0
14/10/2021_09:31:33,0
14/10/2021_09:31:38,0
14/10/2021_09:31:43,0
14/10/2021_09:31:48,0
14/10/2021_09:31:53,0
14/10/2021_09:31:58,0
14/10/2021_09:32:04,0
14/10/2021_09:32:09,0
14/10/2021_09:32:14,0
14/10/2021_09:32:19,0
14/10/2021_09:32:24,0
14/10/2021_09:32:29,0
14/10/2021_09:32:34,0
14/10/2021_09:32:39,0
14/10/2021_09:32:44,0
14/10/2021_09:32:49,0
14/10/2021_09:32:54,0
14/10/2021_09:32:59,0
14/10/2021_09:33:04,0
