Date_Time,CO2
13/10/2021_18:12:29,244
13/10/2021_18:12:34,244
13/10/2021_18:12:39,245
13/10/2021_18:12:44,244
13/10/2021_18:12:49,244
13/10/2021_18:12:54,246
13/10/2021_18:12:59,246
13/10/2021_18:13:04,245
13/10/2021_18:13:09,244
13/10/2021_18:13:14,245
13/10/2021_18:13:19,246
13/10/2021_18:13:24,246
13/10/2021_18:13:29,246
13/10/2021_18:13:34,244
13/10/2021_18:13:39,244
13/10/2021_18:13:44,244
13/10/2021_18:13:49,246
13/10/2021_18:13:54,247
13/10/2021_18:13:59,246
13/10/2021_18:14:04,245
13/10/2021_18:14:09,244
13/10/2021_18:14:15,244
13/10/2021_18:14:20,241
13/10/2021_18:14:25,240
13/10/2021_18:14:30,240
13/10/2021_18:14:35,238
13/10/2021_18:14:40,237
13/10/2021_18:14:45,238
13/10/2021_18:14:50,238
13/10/2021_18:14:55,237
13/10/2021_18:15:00,236
13/10/2021_18:15:05,236
13/10/2021_18:15:10,238
13/10/2021_18:15:15,237
13/10/2021_18:15:20,238
13/10/2021_18:15:25,238
13/10/2021_18:15:30,237
13/10/2021_18:15:35,238
13/10/2021_18:15:40,240
13/10/2021_18:15:45,238
13/10/2021_18:15:50,238
13/10/2021_18:15:55,240
13/10/2021_18:16:00,241
13/10/2021_18:16:05,240
13/10/2021_18:16:10,237
13/10/2021_18:16:15,238
13/10/2021_18:16:20,240
13/10/2021_18:16:25,240
13/10/2021_18:16:30,240
13/10/2021_18:16:35,241
13/10/2021_18:16:40,241
13/10/2021_18:16:45,241
13/10/2021_18:16:50,241
13/10/2021_18:16:55,241
13/10/2021_18:17:00,241
13/10/2021_18:17:05,241
13/10/2021_18:17:10,241
13/10/2021_18:17:15,240
13/10/2021_18:17:20,241
13/10/2021_18:17:25,241
13/10/2021_18:17:30,241
13/10/2021_18:17:35,241
13/10/2021_18:17:40,241
13/10/2021_18:17:45,242
13/10/2021_18:17:50,243
13/10/2021_18:17:55,243
13/10/2021_18:18:00,242
13/10/2021_18:18:06,241
13/10/2021_18:18:11,240
13/10/2021_18:18:16,238
13/10/2021_18:18:21,240
13/10/2021_18:18:26,240
13/10/2021_18:18:31,241
13/10/2021_18:18:36,241
13/10/2021_18:18:41,240
13/10/2021_18:18:46,241
13/10/2021_18:18:51,240
13/10/2021_18:18:56,240
13/10/2021_18:19:01,237
13/10/2021_18:19:06,237
13/10/2021_18:19:11,235
13/10/2021_18:19:16,233
13/10/2021_18:19:21,233
13/10/2021_18:19:26,235
13/10/2021_18:19:31,235
13/10/2021_18:19:36,235
13/10/2021_18:19:41,236
13/10/2021_18:19:46,236
13/10/2021_18:19:51,235
13/10/2021_18:19:56,236
13/10/2021_18:20:01,236
13/10/2021_18:20:06,237
13/10/2021_18:20:11,238
13/10/2021_18:20:16,240
13/10/2021_18:20:21,240
13/10/2021_18:20:26,240
13/10/2021_18:20:31,240
13/10/2021_18:20:36,240
13/10/2021_18:20:41,240
13/10/2021_18:20:46,238
