Date_Time,CO2,Estado_Valvula_1,Estado_Valvula_2,Estado_Valvula_3,Estado_Valvula_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
27/03/2022_04:12:31,807,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,47.00,51.94,39.31,Prendido
27/03/2022_04:12:37,807,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.75,47.00,51.81,39.31,Prendido
27/03/2022_04:12:43,808,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.94,51.88,39.31,Prendido
27/03/2022_04:12:49,809,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.75,46.94,51.88,39.25,Prendido
27/03/2022_04:12:55,809,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.94,51.81,39.31,Prendido
27/03/2022_04:13:00,809,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.75,46.94,51.88,39.25,Prendido
27/03/2022_04:13:06,809,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.81,46.75,46.94,51.94,39.25,Prendido
27/03/2022_04:13:12,809,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.75,46.94,51.88,39.31,Prendido
27/03/2022_04:13:18,809,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.94,51.88,39.25,Prendido
27/03/2022_04:13:24,809,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.88,51.88,39.31,Prendido
27/03/2022_04:13:30,809,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.94,51.81,39.31,Prendido
27/03/2022_04:13:36,808,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.94,51.75,39.25,Prendido
27/03/2022_04:13:41,808,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.88,51.75,39.31,Prendido
27/03/2022_04:13:47,808,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.88,51.81,39.25,Prendido
27/03/2022_04:13:53,807,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.94,51.69,39.31,Prendido
27/03/2022_04:13:59,807,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.88,51.81,39.25,Prendido
27/03/2022_04:14:05,807,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.63,46.94,51.69,39.25,Prendido
27/03/2022_04:14:11,807,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.88,51.75,39.31,Prendido
27/03/2022_04:14:17,807,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.88,51.81,39.31,Prendido
27/03/2022_04:14:23,805,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.88,51.75,39.31,Prendido
27/03/2022_04:14:28,805,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.88,51.75,39.25,Prendido
27/03/2022_04:14:34,804,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.88,51.69,39.25,Prendido
27/03/2022_04:14:40,806,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.81,51.75,39.25,Prendido
27/03/2022_04:14:46,806,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.81,51.81,39.25,Prendido
27/03/2022_04:14:52,806,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.63,46.81,51.81,39.31,Prendido
27/03/2022_04:14:58,805,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.63,46.88,51.81,39.25,Prendido
27/03/2022_04:15:04,806,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.69,46.81,51.69,39.25,Prendido
27/03/2022_04:15:09,806,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.63,46.88,51.75,39.25,Prendido
27/03/2022_04:15:15,805,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.63,46.88,51.69,39.25,Prendido
27/03/2022_04:15:21,805,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.81,46.63,46.81,51.63,39.25,Prendido
27/03/2022_04:15:27,805,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.63,46.88,51.75,39.25,Prendido
27/03/2022_04:15:33,805,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.63,46.88,51.69,39.31,Prendido
27/03/2022_04:15:39,805,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.81,46.63,46.81,51.69,39.25,Prendido
