Date_Time, CO2
20/09/2021_15:14:51,233
20/09/2021_15:14:53,233
20/09/2021_15:14:55,233
20/09/2021_15:14:57,232
20/09/2021_15:14:59,232
20/09/2021_15:15:01,232
20/09/2021_15:15:03,232
20/09/2021_15:15:05,232
20/09/2021_15:15:07,233
20/09/2021_15:15:09,233
20/09/2021_15:15:11,233
20/09/2021_15:15:13,234
20/09/2021_15:15:15,234
20/09/2021_15:15:17,232
20/09/2021_15:15:19,232
20/09/2021_15:15:21,232
20/09/2021_15:15:23,232
20/09/2021_15:15:25,232
20/09/2021_15:15:27,234
20/09/2021_15:15:30,234
20/09/2021_15:15:32,234
20/09/2021_15:15:34,234
20/09/2021_15:15:36,234
20/09/2021_15:15:38,234
20/09/2021_15:15:40,234
20/09/2021_15:15:42,234
20/09/2021_15:15:44,234
20/09/2021_15:15:46,234
20/09/2021_15:15:48,233
20/09/2021_15:15:50,233
20/09/2021_15:15:52,233
20/09/2021_15:15:54,233
20/09/2021_15:15:56,233
20/09/2021_15:15:58,234
20/09/2021_15:16:00,234
20/09/2021_15:16:02,233
20/09/2021_15:16:04,233
20/09/2021_15:16:06,233
20/09/2021_15:16:08,234
20/09/2021_15:16:10,234
20/09/2021_15:16:12,234
20/09/2021_15:16:14,234
20/09/2021_15:16:16,234
20/09/2021_15:16:18,234
20/09/2021_15:16:20,234
20/09/2021_15:16:22,235
20/09/2021_15:16:24,235
20/09/2021_15:16:26,235
20/09/2021_15:16:28,234
20/09/2021_15:16:30,234
20/09/2021_15:16:32,235
20/09/2021_15:16:34,235
20/09/2021_15:16:36,236
20/09/2021_15:16:38,236
20/09/2021_15:16:40,236
20/09/2021_15:16:42,236
20/09/2021_15:16:44,236
20/09/2021_15:16:46,235
20/09/2021_15:16:48,235
20/09/2021_15:16:50,235
20/09/2021_15:16:52,236
20/09/2021_15:16:54,236
20/09/2021_15:16:56,240
20/09/2021_15:16:58,240
20/09/2021_15:17:01,240
20/09/2021_15:17:03,241
20/09/2021_15:17:05,241
20/09/2021_15:17:07,240
20/09/2021_15:17:09,240
20/09/2021_15:17:11,240
20/09/2021_15:17:13,241
20/09/2021_15:17:15,241
20/09/2021_15:17:17,241
20/09/2021_15:17:19,241
20/09/2021_15:17:21,241
20/09/2021_15:17:23,240
20/09/2021_15:17:25,240
20/09/2021_15:17:27,240
20/09/2021_15:17:29,240
20/09/2021_15:17:31,240
20/09/2021_15:17:33,240
20/09/2021_15:17:35,240
20/09/2021_15:17:37,238
20/09/2021_15:17:39,238
20/09/2021_15:17:41,238
20/09/2021_15:17:43,240
20/09/2021_15:17:45,240
20/09/2021_15:17:47,240
20/09/2021_15:17:49,240
20/09/2021_15:17:51,238
20/09/2021_15:17:53,238
20/09/2021_15:17:55,238
20/09/2021_15:17:57,240
20/09/2021_15:17:59,240
20/09/2021_15:18:01,238
20/09/2021_15:18:03,238
20/09/2021_15:18:05,238
20/09/2021_15:18:07,236
20/09/2021_15:18:09,236
20/09/2021_15:18:11,236
