Date_Time, CO2
20/09/2021_15:18:13,236
20/09/2021_15:18:15,236
20/09/2021_15:18:17,236
20/09/2021_15:18:19,236
20/09/2021_15:18:21,236
20/09/2021_15:18:23,236
20/09/2021_15:18:25,236
20/09/2021_15:18:27,221
20/09/2021_15:18:29,221
20/09/2021_15:18:32,17
20/09/2021_15:18:34,17
20/09/2021_15:18:36,17
20/09/2021_15:18:38,0
20/09/2021_15:18:40,0
20/09/2021_15:18:42,0
20/09/2021_15:18:44,0
20/09/2021_15:18:46,0
20/09/2021_15:18:48,0
20/09/2021_15:18:50,0
20/09/2021_15:18:52,0
20/09/2021_15:18:54,0
20/09/2021_15:18:56,0
20/09/2021_15:18:58,0
20/09/2021_15:19:00,0
20/09/2021_15:19:02,0
20/09/2021_15:19:04,0
20/09/2021_15:19:06,0
20/09/2021_15:19:08,0
20/09/2021_15:19:10,0
20/09/2021_15:19:12,0
20/09/2021_15:19:14,0
20/09/2021_15:19:16,0
20/09/2021_15:19:18,0
20/09/2021_15:19:20,0
20/09/2021_15:19:22,0
20/09/2021_15:19:24,0
20/09/2021_15:19:26,0
20/09/2021_15:19:28,0
20/09/2021_15:19:30,0
20/09/2021_15:19:32,0
20/09/2021_15:19:34,0
20/09/2021_15:19:36,58
20/09/2021_15:19:38,58
20/09/2021_15:19:40,58
20/09/2021_15:19:42,118
20/09/2021_15:19:44,118
20/09/2021_15:19:46,151
20/09/2021_15:19:48,151
20/09/2021_15:19:50,151
20/09/2021_15:19:52,158
20/09/2021_15:19:54,158
20/09/2021_15:19:56,167
20/09/2021_15:19:58,167
20/09/2021_15:20:01,167
20/09/2021_15:20:03,173
20/09/2021_15:20:05,173
20/09/2021_15:20:07,181
20/09/2021_15:20:09,181
20/09/2021_15:20:11,181
20/09/2021_15:20:13,185
20/09/2021_15:20:15,185
20/09/2021_15:20:17,190
20/09/2021_15:20:19,190
20/09/2021_15:20:21,190
20/09/2021_15:20:23,192
20/09/2021_15:20:25,192
20/09/2021_15:20:27,196
20/09/2021_15:20:29,196
20/09/2021_15:20:31,202
20/09/2021_15:20:33,202
20/09/2021_15:20:35,202
20/09/2021_15:20:37,206
20/09/2021_15:20:39,206
20/09/2021_15:20:41,208
20/09/2021_15:20:43,208
20/09/2021_15:20:45,208
20/09/2021_15:20:47,212
20/09/2021_15:20:49,212
20/09/2021_15:20:51,214
20/09/2021_15:20:53,214
20/09/2021_15:20:55,214
20/09/2021_15:20:57,220
20/09/2021_15:20:59,220
20/09/2021_15:21:01,223
20/09/2021_15:21:03,223
20/09/2021_15:21:05,223
20/09/2021_15:21:07,227
20/09/2021_15:21:09,227
20/09/2021_15:21:11,230
20/09/2021_15:21:13,230
20/09/2021_15:21:15,230
20/09/2021_15:21:17,232
20/09/2021_15:21:19,232
20/09/2021_15:21:21,235
20/09/2021_15:21:23,235
20/09/2021_15:21:25,235
20/09/2021_15:21:27,236
20/09/2021_15:21:29,236
20/09/2021_15:21:32,244
20/09/2021_15:21:34,244
