Date_Time,Temp_Compost,Temp_Suncho,Estado
15/06/2021_00:57:07,51.25,54.69,Prendido
15/06/2021_00:57:09,51.25,54.63,Prendido
15/06/2021_00:57:10,51.19,54.63,Prendido
15/06/2021_00:57:12,51.19,54.63,Prendido
15/06/2021_00:57:14,51.25,54.69,Prendido
15/06/2021_00:57:15,51.25,54.75,Prendido
15/06/2021_00:57:17,51.19,54.75,Prendido
15/06/2021_00:57:18,51.19,54.75,Prendido
15/06/2021_00:57:20,51.19,54.81,Prendido
15/06/2021_00:57:22,51.19,54.81,Prendido
15/06/2021_00:57:23,51.25,54.81,Prendido
15/06/2021_00:57:25,51.25,54.88,Prendido
15/06/2021_00:57:26,51.19,54.94,Prendido
15/06/2021_00:57:28,51.25,54.88,Prendido
15/06/2021_00:57:30,51.19,54.88,Prendido
15/06/2021_00:57:31,51.19,54.88,Prendido
15/06/2021_00:57:33,51.19,54.94,Prendido
15/06/2021_00:57:35,51.19,54.94,Prendido
15/06/2021_00:57:36,51.19,55.00,Prendido
15/06/2021_00:57:38,51.19,55.00,Prendido
15/06/2021_00:57:39,51.19,55.00,Prendido
15/06/2021_00:57:41,51.19,55.06,Apagado
15/06/2021_00:57:43,51.38,55.19,Apagado
15/06/2021_00:57:44,51.38,55.25,Apagado
15/06/2021_00:57:46,51.38,55.25,Apagado
15/06/2021_00:57:47,51.38,55.19,Apagado
15/06/2021_00:57:49,51.38,55.19,Apagado
15/06/2021_00:57:51,51.31,55.19,Apagado
15/06/2021_00:57:52,51.38,55.13,Apagado
15/06/2021_00:57:54,51.38,55.13,Apagado
15/06/2021_00:57:55,51.38,55.00,Prendido
15/06/2021_00:57:57,51.19,54.81,Prendido
15/06/2021_00:57:59,51.19,54.75,Prendido
15/06/2021_00:58:00,51.19,54.69,Prendido
15/06/2021_00:58:02,51.25,54.69,Prendido
15/06/2021_00:58:03,51.19,54.63,Prendido
15/06/2021_00:58:05,51.19,54.63,Prendido
15/06/2021_00:58:07,51.19,54.63,Prendido
15/06/2021_00:58:08,51.19,54.63,Prendido
15/06/2021_00:58:10,51.19,54.63,Prendido
15/06/2021_00:58:12,51.19,54.69,Prendido
15/06/2021_00:58:13,51.19,54.75,Prendido
15/06/2021_00:58:15,51.19,54.69,Prendido
15/06/2021_00:58:16,51.19,54.75,Prendido
15/06/2021_00:58:18,51.19,54.69,Prendido
15/06/2021_00:58:20,51.19,54.75,Prendido
15/06/2021_00:58:21,51.25,54.81,Prendido
15/06/2021_00:58:23,51.25,54.75,Prendido
15/06/2021_00:58:24,51.19,54.81,Prendido
15/06/2021_00:58:26,51.25,54.88,Prendido
15/06/2021_00:58:28,51.19,54.88,Prendido
15/06/2021_00:58:29,51.25,54.94,Prendido
15/06/2021_00:58:31,51.19,55.00,Prendido
15/06/2021_00:58:32,51.19,55.00,Prendido
15/06/2021_00:58:34,51.25,55.06,Apagado
15/06/2021_00:58:36,51.38,55.19,Apagado
15/06/2021_00:58:37,51.38,55.19,Apagado
15/06/2021_00:58:39,51.38,55.19,Apagado
15/06/2021_00:58:40,51.38,55.19,Apagado
15/06/2021_00:58:42,51.38,55.13,Apagado
15/06/2021_00:58:44,51.38,55.13,Apagado
15/06/2021_00:58:45,51.38,55.06,Apagado
15/06/2021_00:58:47,51.38,55.06,Apagado
15/06/2021_00:58:49,51.38,54.94,Prendido
15/06/2021_00:58:50,51.25,54.75,Prendido
15/06/2021_00:58:52,51.19,54.63,Prendido
15/06/2021_00:58:53,51.19,54.56,Prendido
15/06/2021_00:58:55,51.25,54.50,Prendido
15/06/2021_00:58:57,51.19,54.44,Prendido
15/06/2021_00:58:58,51.25,54.44,Prendido
15/06/2021_00:59:00,51.25,54.38,Prendido
15/06/2021_00:59:01,51.19,54.38,Prendido
15/06/2021_00:59:03,51.19,54.38,Prendido
15/06/2021_00:59:05,51.19,54.44,Prendido
15/06/2021_00:59:06,51.19,54.44,Prendido
15/06/2021_00:59:08,51.19,54.44,Prendido
15/06/2021_00:59:09,51.19,54.44,Prendido
15/06/2021_00:59:11,51.19,54.50,Prendido
15/06/2021_00:59:13,51.19,54.50,Prendido
15/06/2021_00:59:14,51.19,54.56,Prendido
15/06/2021_00:59:16,51.19,54.63,Prendido
15/06/2021_00:59:17,51.19,54.63,Prendido
15/06/2021_00:59:19,51.19,54.69,Prendido
15/06/2021_00:59:21,51.19,54.75,Prendido
15/06/2021_00:59:22,51.25,54.75,Prendido
15/06/2021_00:59:24,51.19,54.75,Prendido
15/06/2021_00:59:26,51.19,54.75,Prendido
15/06/2021_00:59:27,51.25,54.81,Prendido
15/06/2021_00:59:29,51.19,54.81,Prendido
15/06/2021_00:59:30,51.19,54.88,Prendido
15/06/2021_00:59:32,51.19,54.88,Prendido
15/06/2021_00:59:34,51.19,54.94,Prendido
15/06/2021_00:59:35,51.19,55.06,Apagado
15/06/2021_00:59:37,51.38,55.19,Apagado
15/06/2021_00:59:38,51.38,55.25,Apagado
15/06/2021_00:59:40,51.38,55.31,Apagado
15/06/2021_00:59:42,51.38,55.31,Apagado
15/06/2021_00:59:43,51.38,55.31,Apagado
15/06/2021_00:59:45,51.38,55.25,Apagado
15/06/2021_00:59:46,51.38,55.19,Apagado
