Date_Time, CO2
20/09/2021_16:08:01,496
20/09/2021_16:08:03,491
20/09/2021_16:08:05,491
20/09/2021_16:08:07,488
20/09/2021_16:08:09,488
20/09/2021_16:08:11,505
20/09/2021_16:08:13,505
20/09/2021_16:08:15,505
20/09/2021_16:08:17,707
20/09/2021_16:08:19,707
20/09/2021_16:08:21,809
20/09/2021_16:08:23,809
20/09/2021_16:08:25,809
20/09/2021_16:08:27,821
20/09/2021_16:08:29,821
20/09/2021_16:08:31,822
20/09/2021_16:08:33,822
20/09/2021_16:08:35,822
20/09/2021_16:08:37,815
20/09/2021_16:08:39,815
20/09/2021_16:08:41,776
20/09/2021_16:08:43,776
20/09/2021_16:08:45,776
20/09/2021_16:08:47,599
20/09/2021_16:08:49,599
20/09/2021_16:08:51,528
20/09/2021_16:08:53,528
20/09/2021_16:08:55,528
20/09/2021_16:08:57,382
20/09/2021_16:08:59,382
20/09/2021_16:09:01,332
20/09/2021_16:09:03,332
20/09/2021_16:09:05,332
20/09/2021_16:09:07,303
20/09/2021_16:09:09,303
20/09/2021_16:09:11,263
20/09/2021_16:09:14,263
20/09/2021_16:09:16,263
20/09/2021_16:09:18,240
20/09/2021_16:09:20,240
20/09/2021_16:09:22,216
20/09/2021_16:09:24,216
20/09/2021_16:09:26,203
20/09/2021_16:09:28,203
20/09/2021_16:09:30,203
20/09/2021_16:09:32,198
20/09/2021_16:09:34,198
20/09/2021_16:09:36,185
20/09/2021_16:09:38,185
20/09/2021_16:09:40,185
20/09/2021_16:09:42,178
20/09/2021_16:09:44,178
20/09/2021_16:09:46,170
20/09/2021_16:09:48,170
20/09/2021_16:09:50,170
20/09/2021_16:09:52,167
20/09/2021_16:09:54,167
20/09/2021_16:09:56,163
20/09/2021_16:09:58,163
20/09/2021_16:10:00,163
20/09/2021_16:10:02,161
20/09/2021_16:10:04,161
20/09/2021_16:10:06,157
20/09/2021_16:10:08,157
20/09/2021_16:10:10,157
20/09/2021_16:10:12,148
20/09/2021_16:10:14,148
20/09/2021_16:10:16,134
20/09/2021_16:10:18,134
20/09/2021_16:10:20,134
20/09/2021_16:10:22,131
20/09/2021_16:10:24,131
20/09/2021_16:10:26,128
20/09/2021_16:10:28,128
20/09/2021_16:10:30,128
20/09/2021_16:10:32,122
20/09/2021_16:10:34,122
20/09/2021_16:10:36,118
20/09/2021_16:10:38,118
20/09/2021_16:10:40,118
20/09/2021_16:10:43,115
20/09/2021_16:10:45,115
20/09/2021_16:10:47,107
20/09/2021_16:10:49,107
20/09/2021_16:10:51,105
20/09/2021_16:10:53,105
20/09/2021_16:10:55,105
20/09/2021_16:10:57,103
20/09/2021_16:10:59,103
20/09/2021_16:11:01,102
20/09/2021_16:11:03,102
20/09/2021_16:11:05,102
20/09/2021_16:11:07,98
20/09/2021_16:11:09,98
20/09/2021_16:11:11,100
20/09/2021_16:11:13,100
20/09/2021_16:11:15,100
20/09/2021_16:11:17,97
20/09/2021_16:11:19,97
20/09/2021_16:11:21,97
