Date,Volume,#1,#2,#3,#4
2021-11-03,V1,9.7,7.3,9.1,8.2
2021-11-03,V2,10.3,7.7,9.7,9.0
2021-11-04,V1,9.7,7.1,9.2,8.1
2021-11-04,V2,10.4,7.7,10.0,9.0
2021-11-05,V1,9.7,7.4,9.0,8.0
2021-11-05,V2,10.9,8.2,10.3,9.5
