Date_Time,CO2,Estado_Valvula_1,Estado_Valvula_2,Estado_Valvula_3,Estado_Valvula_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
23/03/2022_03:57:51,741,Apagado,Apagado,Apagado,Apagado,55.13,63.31,66.44,60.00,65.37,Prendido
23/03/2022_03:57:57,741,Apagado,Apagado,Apagado,Apagado,55.13,63.38,66.44,59.94,65.37,Prendido
23/03/2022_03:58:03,743,Apagado,Apagado,Apagado,Apagado,55.13,63.38,66.44,59.88,65.37,Prendido
23/03/2022_03:58:08,744,Apagado,Apagado,Apagado,Apagado,55.13,63.38,66.44,59.94,65.37,Prendido
23/03/2022_03:58:14,743,Apagado,Apagado,Apagado,Apagado,55.13,63.31,66.44,59.94,65.37,Prendido
23/03/2022_03:58:20,742,Apagado,Apagado,Apagado,Apagado,55.13,63.38,66.44,59.94,65.37,Prendido
23/03/2022_03:58:26,743,Apagado,Apagado,Apagado,Apagado,55.06,63.38,66.44,59.94,65.37,Prendido
23/03/2022_03:58:32,743,Apagado,Apagado,Apagado,Apagado,55.13,63.38,66.44,60.06,65.37,Apagado
23/03/2022_03:58:38,741,Apagado,Apagado,Apagado,Apagado,55.00,63.25,66.31,60.00,65.25,Prendido
23/03/2022_03:58:44,740,Apagado,Apagado,Apagado,Apagado,55.13,63.31,66.44,60.06,65.37,Apagado
23/03/2022_03:58:50,739,Apagado,Apagado,Apagado,Apagado,55.00,63.31,66.31,59.94,65.25,Prendido
23/03/2022_03:58:55,739,Apagado,Apagado,Apagado,Apagado,55.13,63.38,66.44,60.13,65.37,Apagado
23/03/2022_03:59:01,739,Apagado,Apagado,Apagado,Apagado,55.00,63.31,66.31,60.00,65.25,Prendido
23/03/2022_03:59:07,739,Apagado,Apagado,Apagado,Apagado,55.06,63.38,66.44,60.06,65.37,Apagado
23/03/2022_03:59:13,740,Apagado,Apagado,Apagado,Apagado,55.00,63.31,66.31,59.88,65.25,Prendido
23/03/2022_03:59:19,738,Apagado,Apagado,Apagado,Apagado,55.13,63.38,66.44,59.94,65.37,Prendido
23/03/2022_03:59:25,738,Apagado,Apagado,Apagado,Apagado,55.13,63.38,66.44,59.94,65.37,Prendido
23/03/2022_03:59:31,738,Apagado,Apagado,Apagado,Apagado,55.13,63.38,66.44,59.94,65.37,Prendido
23/03/2022_03:59:36,738,Apagado,Apagado,Apagado,Apagado,55.13,63.38,66.44,59.94,65.37,Prendido
23/03/2022_03:59:42,737,Apagado,Apagado,Apagado,Apagado,55.13,63.38,66.44,59.88,65.37,Prendido
23/03/2022_03:59:48,737,Apagado,Apagado,Apagado,Apagado,55.13,63.31,66.44,59.94,65.37,Prendido
23/03/2022_03:59:54,737,Apagado,Apagado,Apagado,Apagado,55.13,63.38,66.44,59.88,65.37,Prendido
23/03/2022_04:00:00,737,Apagado,Apagado,Apagado,Apagado,55.13,63.38,66.44,59.94,65.31,Prendido
23/03/2022_04:00:06,736,Apagado,Apagado,Apagado,Apagado,55.06,63.38,66.44,60.06,65.37,Apagado
