Date_Time,CO2,Estado_Valvula_1,Estado_Valvula_2,Estado_Valvula_3,Estado_Valvula_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
23/03/2022_06:04:53,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.56,67.50,Prendido
23/03/2022_06:04:59,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.50,67.44,Prendido
23/03/2022_06:05:05,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.56,67.44,Prendido
23/03/2022_06:05:11,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.44,67.50,Prendido
23/03/2022_06:05:17,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.50,67.44,Prendido
23/03/2022_06:05:23,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.44,67.44,Prendido
23/03/2022_06:05:28,0,Prendido,Apagado,Apagado,Apagado,56.19,64.12,66.19,59.44,67.44,Prendido
23/03/2022_06:05:34,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.50,67.50,Prendido
23/03/2022_06:05:40,0,Prendido,Apagado,Apagado,Apagado,56.19,64.12,66.19,59.44,67.50,Prendido
23/03/2022_06:05:46,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.44,67.50,Prendido
23/03/2022_06:05:52,0,Prendido,Apagado,Apagado,Apagado,56.25,64.19,66.19,59.44,67.50,Prendido
23/03/2022_06:05:58,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.50,67.44,Prendido
23/03/2022_06:06:04,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.44,67.44,Prendido
23/03/2022_06:06:09,0,Prendido,Apagado,Apagado,Apagado,56.19,64.19,66.19,59.56,67.44,Prendido
23/03/2022_06:06:15,0,Prendido,Apagado,Apagado,Apagado,56.19,64.12,66.19,59.44,67.44,Prendido
23/03/2022_06:06:21,0,Prendido,Apagado,Apagado,Apagado,56.19,64.12,66.19,59.44,67.50,Prendido
23/03/2022_06:06:27,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.56,67.44,Prendido
23/03/2022_06:06:33,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.56,67.44,Prendido
23/03/2022_06:06:39,0,Prendido,Apagado,Apagado,Apagado,56.19,64.12,66.19,59.50,67.44,Prendido
23/03/2022_06:06:45,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.44,67.44,Prendido
23/03/2022_06:06:51,0,Prendido,Apagado,Apagado,Apagado,56.19,64.12,66.19,59.56,67.44,Prendido
23/03/2022_06:06:56,0,Prendido,Apagado,Apagado,Apagado,56.25,64.19,66.19,59.56,67.44,Prendido
23/03/2022_06:07:02,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.63,67.37,Prendido
23/03/2022_06:07:08,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.56,67.37,Prendido
23/03/2022_06:07:14,0,Prendido,Apagado,Apagado,Apagado,56.19,64.12,66.19,59.63,67.37,Prendido
23/03/2022_06:07:20,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.56,67.37,Prendido
23/03/2022_06:07:26,0,Prendido,Apagado,Apagado,Apagado,56.25,64.12,66.19,59.63,67.37,Prendido
