# nro,Area1,Area2,Area3,Area4
1.000000000000000000e+00, 1.025229000000000000e+06, 8.480975000000000000e+05, 1.833670500000000000e+06, 6.958480000000000000e+05
2.000000000000000000e+00, 7.021285000000000000e+05, 6.122630000000000000e+05, 8.928670000000000000e+05, 6.541720000000000000e+05
3.000000000000000000e+00, 6.285735000000000000e+05, 5.817240000000000000e+05, 7.238670000000000000e+05, 6.298270000000000000e+05
4.000000000000000000e+00, 6.385890000000000000e+05, 5.925645000000000000e+05, 6.554025000000000000e+05, 6.664820000000000000e+05
5.000000000000000000e+00, 2.214476000000000000e+06, 1.006232000000000000e+06, 2.411412000000000000e+06, 8.773270000000000000e+05
6.000000000000000000e+00, 1.297864500000000000e+06, 8.702635000000000000e+05, 2.274864000000000000e+06, 7.886155000000000000e+05
7.000000000000000000e+00, 8.826280000000000000e+05, 7.054875000000000000e+05, 1.463632500000000000e+06, 7.429440000000000000e+05
