1,3,5,7
176.4953,177.416,174.5893,169.7353
177.5585,177.9393,174.9863,170.3602
177.7808,178.0823,175.1236,170.5186
181.9772,179.5764,176.0021,172.3583
183.1674,180.2873,176.5443,173.4208
183.3661,180.421,176.6648,173.5939
184.3416,180.9307,177.0928,174.2284

