Date_Time,Temp_Compost,Temp_Suncho,Estado
29/06/2021_04:47:30,44.88,50.31,Apagado
29/06/2021_04:47:31,44.88,50.31,Apagado
29/06/2021_04:47:33,44.88,50.31,Apagado
29/06/2021_04:47:35,44.88,50.31,Apagado
29/06/2021_04:47:36,44.88,50.31,Apagado
29/06/2021_04:47:38,44.88,50.31,Apagado
29/06/2021_04:47:39,44.88,50.25,Apagado
29/06/2021_04:47:41,44.88,50.13,Apagado
29/06/2021_04:47:43,44.88,50.06,Apagado
29/06/2021_04:47:44,44.88,50.00,Prendido
29/06/2021_04:47:46,44.69,49.81,Prendido
29/06/2021_04:47:47,44.63,49.81,Prendido
29/06/2021_04:47:49,44.69,49.75,Prendido
29/06/2021_04:47:51,44.69,49.75,Prendido
29/06/2021_04:47:52,44.69,49.75,Prendido
29/06/2021_04:47:54,44.69,49.75,Prendido
29/06/2021_04:47:55,44.63,49.69,Prendido
29/06/2021_04:47:57,44.69,49.69,Prendido
29/06/2021_04:47:59,44.69,49.69,Prendido
29/06/2021_04:48:00,44.69,49.69,Prendido
29/06/2021_04:48:02,44.63,49.69,Prendido
29/06/2021_04:48:03,44.69,49.69,Prendido
29/06/2021_04:48:05,44.69,49.75,Prendido
29/06/2021_04:48:07,44.69,49.75,Prendido
29/06/2021_04:48:08,44.69,49.81,Prendido
29/06/2021_04:48:10,44.69,49.81,Prendido
29/06/2021_04:48:12,44.63,49.81,Prendido
29/06/2021_04:48:13,44.63,49.81,Prendido
29/06/2021_04:48:15,44.69,49.81,Prendido
29/06/2021_04:48:16,44.69,49.88,Prendido
29/06/2021_04:48:18,44.69,49.94,Prendido
29/06/2021_04:48:20,44.69,50.00,Prendido
29/06/2021_04:48:21,44.69,50.00,Prendido
29/06/2021_04:48:23,44.63,50.00,Prendido
29/06/2021_04:48:24,44.69,50.00,Prendido
29/06/2021_04:48:26,44.69,50.00,Prendido
29/06/2021_04:48:28,44.69,50.00,Prendido
29/06/2021_04:48:29,44.63,50.00,Prendido
29/06/2021_04:48:31,44.69,50.00,Prendido
29/06/2021_04:48:32,44.63,50.06,Apagado
29/06/2021_04:48:34,44.88,50.25,Apagado
29/06/2021_04:48:36,44.88,50.25,Apagado
29/06/2021_04:48:37,44.88,50.31,Apagado
29/06/2021_04:48:39,44.88,50.31,Apagado
29/06/2021_04:48:40,44.88,50.38,Apagado
29/06/2021_04:48:42,44.88,50.38,Apagado
29/06/2021_04:48:44,44.81,50.31,Apagado
29/06/2021_04:48:45,44.88,50.31,Apagado
29/06/2021_04:48:47,44.88,50.31,Apagado
29/06/2021_04:48:48,44.88,50.31,Apagado
29/06/2021_04:48:50,44.81,50.25,Apagado
29/06/2021_04:48:52,44.88,50.19,Apagado
29/06/2021_04:48:53,44.88,50.19,Apagado
29/06/2021_04:48:55,44.88,50.13,Apagado
29/06/2021_04:48:57,44.81,50.13,Apagado
29/06/2021_04:48:58,44.81,50.13,Apagado
29/06/2021_04:49:00,44.81,50.13,Apagado
29/06/2021_04:49:01,44.88,50.00,Prendido
29/06/2021_04:49:03,44.63,49.81,Prendido
29/06/2021_04:49:05,44.63,49.75,Prendido
29/06/2021_04:49:06,44.69,49.69,Prendido
29/06/2021_04:49:08,44.63,49.69,Prendido
29/06/2021_04:49:09,44.63,49.63,Prendido
29/06/2021_04:49:11,44.63,49.63,Prendido
29/06/2021_04:49:13,44.63,49.56,Prendido
29/06/2021_04:49:14,44.63,49.63,Prendido
29/06/2021_04:49:16,44.63,49.63,Prendido
29/06/2021_04:49:17,44.63,49.56,Prendido
29/06/2021_04:49:19,44.63,49.56,Prendido
29/06/2021_04:49:21,44.63,49.56,Prendido
29/06/2021_04:49:22,44.63,49.56,Prendido
29/06/2021_04:49:24,44.63,49.56,Prendido
29/06/2021_04:49:25,44.63,49.63,Prendido
29/06/2021_04:49:27,44.63,49.63,Prendido
29/06/2021_04:49:29,44.63,49.63,Prendido
29/06/2021_04:49:30,44.63,49.63,Prendido
29/06/2021_04:49:32,44.63,49.63,Prendido
29/06/2021_04:49:33,44.63,49.69,Prendido
29/06/2021_04:49:35,44.63,49.69,Prendido
29/06/2021_04:49:37,44.63,49.69,Prendido
29/06/2021_04:49:38,44.69,49.75,Prendido
29/06/2021_04:49:40,44.63,49.75,Prendido
29/06/2021_04:49:42,44.63,49.81,Prendido
29/06/2021_04:49:43,44.63,49.81,Prendido
29/06/2021_04:49:45,44.69,49.88,Prendido
29/06/2021_04:49:46,44.63,49.81,Prendido
29/06/2021_04:49:48,44.63,49.88,Prendido
29/06/2021_04:49:50,44.69,49.94,Prendido
29/06/2021_04:49:51,44.69,49.94,Prendido
29/06/2021_04:49:53,44.63,49.94,Prendido
29/06/2021_04:49:54,44.63,50.00,Prendido
29/06/2021_04:49:56,44.63,50.00,Prendido
29/06/2021_04:49:58,44.63,50.06,Apagado
29/06/2021_04:49:59,44.88,50.25,Apagado
29/06/2021_04:50:01,44.88,50.25,Apagado
29/06/2021_04:50:02,44.88,50.25,Apagado
29/06/2021_04:50:04,44.88,50.25,Apagado
29/06/2021_04:50:06,44.88,50.25,Apagado
29/06/2021_04:50:07,44.88,50.25,Apagado
29/06/2021_04:50:09,44.81,50.19,Apagado
