Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
24/03/2022_05:11:49,1278,57.94,57.19,52.31,55.25,48.44,Prendido
24/03/2022_05:11:54,1278,57.94,57.19,52.38,55.19,48.44,Prendido
24/03/2022_05:12:00,1278,57.94,57.19,52.31,55.25,48.44,Prendido
24/03/2022_05:12:06,1279,57.94,57.25,52.38,55.38,48.44,Prendido
24/03/2022_05:12:12,1279,57.94,57.25,52.31,55.44,48.44,Prendido
24/03/2022_05:12:18,1279,57.94,57.19,52.31,55.50,48.44,Prendido
24/03/2022_05:12:24,1279,57.94,57.19,52.31,55.38,48.44,Prendido
24/03/2022_05:12:30,1281,57.94,57.25,52.38,55.31,48.44,Prendido
24/03/2022_05:12:35,1282,57.94,57.25,52.38,55.19,48.44,Prendido
24/03/2022_05:12:41,1285,57.94,57.19,52.38,55.19,48.44,Prendido
24/03/2022_05:12:47,1287,57.94,57.19,52.38,55.13,48.44,Prendido
24/03/2022_05:12:53,1287,57.94,57.19,52.31,55.13,48.44,Prendido
24/03/2022_05:12:59,1286,57.94,57.19,52.38,55.13,48.44,Prendido
24/03/2022_05:13:05,1285,57.94,57.25,52.38,55.25,48.44,Prendido
24/03/2022_05:13:11,1284,57.94,57.19,52.38,55.31,48.44,Prendido
24/03/2022_05:13:17,1281,57.94,57.19,52.38,55.19,48.38,Prendido
24/03/2022_05:13:22,1278,57.88,57.19,52.38,55.13,48.44,Prendido
24/03/2022_05:13:28,1280,57.88,57.25,52.38,55.00,48.44,Prendido
24/03/2022_05:13:34,1280,57.94,57.19,52.38,55.00,48.44,Prendido
24/03/2022_05:13:40,1279,57.94,57.19,52.38,55.00,48.44,Prendido
24/03/2022_05:13:46,1279,57.94,57.19,52.31,55.13,48.44,Prendido
24/03/2022_05:13:52,1278,57.94,57.19,52.31,55.19,48.44,Prendido
24/03/2022_05:13:58,1278,57.94,57.19,52.31,55.19,48.44,Prendido
24/03/2022_05:14:03,1278,57.94,57.19,52.31,55.31,48.44,Prendido
24/03/2022_05:14:09,1277,57.88,57.19,52.31,55.31,48.38,Prendido
24/03/2022_05:14:15,1277,57.94,57.19,52.31,55.38,48.44,Prendido
24/03/2022_05:14:21,1275,57.88,57.25,52.38,55.38,48.38,Prendido
24/03/2022_05:14:27,1277,57.88,57.25,52.31,55.38,48.44,Prendido
24/03/2022_05:14:33,1275,57.88,57.19,52.31,55.31,48.38,Prendido
24/03/2022_05:14:39,1274,57.88,57.19,52.31,55.38,48.44,Prendido
24/03/2022_05:14:44,1274,57.88,57.19,52.38,55.31,48.44,Prendido
24/03/2022_05:14:50,1274,57.88,57.19,52.31,55.19,48.44,Prendido
24/03/2022_05:14:56,1274,57.88,57.19,52.31,55.19,48.44,Prendido
24/03/2022_05:15:02,1274,57.88,57.19,52.38,55.06,48.44,Prendido
24/03/2022_05:15:08,1274,57.88,57.19,52.31,55.06,48.44,Prendido
24/03/2022_05:15:14,1274,57.88,57.19,52.31,54.94,48.44,Prendido
24/03/2022_05:15:20,1273,57.88,57.19,52.31,55.00,48.44,Prendido
