Date_Time,Temp_Compost,Temp_Suncho,Estado
07/07/2021_23:58:45,46.31,50.00,Prendido
07/07/2021_23:58:47,46.25,49.94,Prendido
07/07/2021_23:58:48,46.25,49.94,Prendido
07/07/2021_23:58:50,46.31,49.94,Prendido
07/07/2021_23:58:52,46.25,50.00,Prendido
07/07/2021_23:58:53,46.25,50.00,Prendido
07/07/2021_23:58:55,46.31,50.00,Prendido
07/07/2021_23:58:56,46.25,50.06,Prendido
07/07/2021_23:58:58,46.31,50.06,Prendido
07/07/2021_23:59:00,46.31,50.00,Prendido
07/07/2021_23:59:01,46.31,50.00,Prendido
07/07/2021_23:59:03,46.31,50.00,Prendido
07/07/2021_23:59:04,46.31,50.00,Prendido
07/07/2021_23:59:06,46.31,50.00,Prendido
07/07/2021_23:59:08,46.31,50.00,Prendido
07/07/2021_23:59:09,46.31,49.94,Prendido
07/07/2021_23:59:11,46.31,49.94,Prendido
07/07/2021_23:59:12,46.31,49.88,Prendido
07/07/2021_23:59:14,46.31,49.88,Prendido
07/07/2021_23:59:16,46.31,49.88,Prendido
07/07/2021_23:59:17,46.31,49.81,Prendido
07/07/2021_23:59:19,46.31,49.88,Prendido
07/07/2021_23:59:20,46.31,49.88,Prendido
07/07/2021_23:59:22,46.31,49.81,Prendido
07/07/2021_23:59:24,46.31,49.88,Prendido
07/07/2021_23:59:25,46.31,49.81,Prendido
07/07/2021_23:59:27,46.31,49.81,Prendido
07/07/2021_23:59:29,46.31,49.81,Prendido
07/07/2021_23:59:30,46.31,49.81,Prendido
07/07/2021_23:59:32,46.31,49.81,Prendido
07/07/2021_23:59:33,46.31,49.81,Prendido
07/07/2021_23:59:35,46.31,49.81,Prendido
07/07/2021_23:59:37,46.31,49.81,Prendido
07/07/2021_23:59:38,46.25,49.81,Prendido
07/07/2021_23:59:40,46.31,49.81,Prendido
07/07/2021_23:59:41,46.25,49.81,Prendido
07/07/2021_23:59:43,46.25,49.81,Prendido
07/07/2021_23:59:45,46.31,49.81,Prendido
07/07/2021_23:59:46,46.31,49.88,Prendido
07/07/2021_23:59:48,46.31,49.81,Prendido
07/07/2021_23:59:49,46.31,49.81,Prendido
07/07/2021_23:59:51,46.31,49.81,Prendido
07/07/2021_23:59:53,46.31,49.81,Prendido
07/07/2021_23:59:54,46.25,49.88,Prendido
07/07/2021_23:59:56,46.31,49.88,Prendido
07/07/2021_23:59:57,46.31,49.81,Prendido
07/07/2021_23:59:59,46.31,49.81,Prendido
08/07/2021_00:00:01,46.31,49.81,Prendido
08/07/2021_00:00:02,46.31,49.88,Prendido
08/07/2021_00:00:04,46.31,49.88,Prendido
08/07/2021_00:00:05,46.31,49.88,Prendido
08/07/2021_00:00:07,46.31,49.88,Prendido
08/07/2021_00:00:09,46.31,49.88,Prendido
08/07/2021_00:00:10,46.31,49.88,Prendido
08/07/2021_00:00:12,46.31,49.88,Prendido
08/07/2021_00:00:14,46.31,49.88,Prendido
08/07/2021_00:00:15,46.31,49.88,Prendido
08/07/2021_00:00:17,46.25,49.88,Prendido
08/07/2021_00:00:18,46.25,49.88,Prendido
08/07/2021_00:00:20,46.25,49.94,Prendido
08/07/2021_00:00:22,46.31,49.94,Prendido
08/07/2021_00:00:23,46.25,49.94,Prendido
08/07/2021_00:00:25,46.25,49.94,Prendido
08/07/2021_00:00:26,46.31,49.94,Prendido
08/07/2021_00:00:28,46.31,49.88,Prendido
08/07/2021_00:00:30,46.25,49.88,Prendido
08/07/2021_00:00:31,46.31,49.81,Prendido
08/07/2021_00:00:33,46.25,49.81,Prendido
08/07/2021_00:00:34,46.31,49.81,Prendido
08/07/2021_00:00:36,46.31,49.81,Prendido
08/07/2021_00:00:38,46.31,49.81,Prendido
08/07/2021_00:00:39,46.25,49.81,Prendido
08/07/2021_00:00:41,46.31,49.81,Prendido
08/07/2021_00:00:42,46.31,49.81,Prendido
08/07/2021_00:00:44,46.25,49.81,Prendido
08/07/2021_00:00:46,46.25,49.81,Prendido
08/07/2021_00:00:47,46.31,49.81,Prendido
08/07/2021_00:00:49,46.31,49.81,Prendido
08/07/2021_00:00:51,46.31,49.81,Prendido
08/07/2021_00:00:52,46.31,49.88,Prendido
08/07/2021_00:00:54,46.31,49.81,Prendido
08/07/2021_00:00:55,46.25,49.88,Prendido
08/07/2021_00:00:57,46.31,49.88,Prendido
08/07/2021_00:00:59,46.31,49.88,Prendido
08/07/2021_00:01:00,46.25,49.81,Prendido
08/07/2021_00:01:02,46.25,49.81,Prendido
08/07/2021_00:01:03,46.25,49.88,Prendido
08/07/2021_00:01:05,46.31,49.81,Prendido
08/07/2021_00:01:07,46.25,49.81,Prendido
08/07/2021_00:01:08,46.31,49.81,Prendido
08/07/2021_00:01:10,46.31,49.81,Prendido
08/07/2021_00:01:11,46.31,49.81,Prendido
08/07/2021_00:01:13,46.31,49.81,Prendido
08/07/2021_00:01:15,46.31,49.81,Prendido
08/07/2021_00:01:16,46.31,49.81,Prendido
08/07/2021_00:01:18,46.25,49.81,Prendido
08/07/2021_00:01:19,46.25,49.81,Prendido
08/07/2021_00:01:21,46.25,49.75,Prendido
08/07/2021_00:01:23,46.25,49.75,Prendido
08/07/2021_00:01:24,46.25,49.81,Prendido
