Date_Time,CO2
10/03/2022_18:27:17,!Error: Timed out waiting for response
10/03/2022_18:27:17,!ERROR: Failed to verify connection(1) to sensor.
10/03/2022_18:27:17,!ERROR: Initial communication errorCode recieved
10/03/2022_18:27:18,!Error: Timed out waiting for response
10/03/2022_18:27:18,!Error: Timed out waiting for response
10/03/2022_18:27:18,0
10/03/2022_18:27:24,!Error: Timed out waiting for response
10/03/2022_18:27:24,0
10/03/2022_18:27:29,!Error: Timed out waiting for response
10/03/2022_18:27:29,0
10/03/2022_18:27:35,!Error: Timed out waiting for response
10/03/2022_18:27:35,0
10/03/2022_18:27:40,!Error: Timed out waiting for response
10/03/2022_18:27:40,0
