# nro,promedio1,promedio2,promedio3,promedio4
1.000000000000000000e+00, 4.623360323886639662e+02, 4.808016194331983684e+02, 6.829068825910931082e+02, 6.736437246963562302e+02
2.000000000000000000e+00, 5.478947368421053170e+02, 4.636356275303643883e+02, 5.728744939271255134e+02, 5.579838056680162026e+02
3.000000000000000000e+00, 4.816315789473684390e+02, 5.877489878542510269e+02, 7.617044534412955272e+02, 6.876396761133603377e+02
4.000000000000000000e+00, 5.275425101214574397e+02, 6.915708502024291420e+02, 1.085502024291497946e+03, 9.539757085020243039e+02
5.000000000000000000e+00, 6.122591093117408718e+02, 6.910242914979756961e+02, 1.007631578947368439e+03, 7.179554655870445004e+02
6.000000000000000000e+00, 5.079352226720647536e+02, 5.817287449392712233e+02, 8.211700404858299862e+02, 6.562348178137651757e+02
7.000000000000000000e+00, 4.966518218623481857e+02, 5.519959514170039938e+02, 7.833157894736841627e+02, 6.181902834008096761e+02
8.000000000000000000e+00, 4.630526315789473415e+02, 5.405546558704453446e+02, 7.465384615384615472e+02, 6.363481781376518711e+02
9.000000000000000000e+00, 3.998663967611336147e+02, 4.085506072874493952e+02, 6.108259109311741213e+02, 5.164291497975708580e+02
1.000000000000000000e+01, 4.018340080971660200e+02, 4.041497975708501826e+02, 5.156923076923077360e+02, 4.607489878542510269e+02
1.100000000000000000e+01, 4.022834008097166247e+02, 4.029838056680162026e+02, 5.039797570850202533e+02, 5.106315789473684390e+02
1.200000000000000000e+01, 5.818421052631579187e+02, 7.208704453441295072e+02, 1.140024291497975810e+03, 7.652064777327934735e+02
1.300000000000000000e+01, 8.370931174089068918e+02, 1.016331983805667960e+03, 1.181866396761133501e+03, 7.260850202429149931e+02
1.400000000000000000e+01, 4.800202429149797467e+02, 5.823198380566801688e+02, 7.663198380566801688e+02, 5.709514170040486079e+02
1.500000000000000000e+01, 4.306720647773279325e+02, 5.124574898785425603e+02, 6.852024291497975810e+02, 5.463522267206477636e+02
1.600000000000000000e+01, 4.466599190283400844e+02, 4.821538461538461320e+02, 6.439068825910931082e+02, 5.707206477732793246e+02
1.700000000000000000e+01, 5.344574898785425603e+02, 6.554696356275303515e+02, 1.080295546558704473e+03, 8.243927125506072571e+02
1.800000000000000000e+01, 5.543076923076922640e+02, 5.521659919028339800e+02, 6.379473684210526017e+02, 5.996558704453441351e+02
1.900000000000000000e+01, 4.878704453441295641e+02, 4.844534412955465541e+02, 5.451174089068825879e+02, 5.666801619433198312e+02
2.000000000000000000e+01, 4.668542510121457667e+02, 4.907287449392712801e+02, 5.771417004048582839e+02, 5.434048582995951620e+02
2.100000000000000000e+01, 4.278744939271255134e+02, 4.112267206477732771e+02, 4.837935222672064697e+02, 4.278744939271255134e+02

