Date_Time, CO2
20/09/2021_16:24:52,138
20/09/2021_16:24:54,138
20/09/2021_16:24:56,138
20/09/2021_16:24:58,138
20/09/2021_16:25:00,138
20/09/2021_16:25:02,138
20/09/2021_16:25:04,138
20/09/2021_16:25:06,140
20/09/2021_16:25:08,140
20/09/2021_16:25:10,137
20/09/2021_16:25:12,137
20/09/2021_16:25:14,137
20/09/2021_16:25:16,137
20/09/2021_16:25:18,137
20/09/2021_16:25:20,140
20/09/2021_16:25:22,140
20/09/2021_16:25:24,138
20/09/2021_16:25:26,138
20/09/2021_16:25:28,138
20/09/2021_16:25:30,136
20/09/2021_16:25:32,136
20/09/2021_16:25:34,136
20/09/2021_16:25:36,136
20/09/2021_16:25:38,136
20/09/2021_16:25:40,134
20/09/2021_16:25:42,134
20/09/2021_16:25:45,135
20/09/2021_16:25:47,135
20/09/2021_16:25:49,135
20/09/2021_16:25:51,134
20/09/2021_16:25:53,134
20/09/2021_16:25:55,133
20/09/2021_16:25:57,133
20/09/2021_16:25:59,133
20/09/2021_16:26:01,133
20/09/2021_16:26:03,133
20/09/2021_16:26:05,130
20/09/2021_16:26:07,130
20/09/2021_16:26:09,130
20/09/2021_16:26:11,131
20/09/2021_16:26:13,131
20/09/2021_16:26:15,131
20/09/2021_16:26:17,131
20/09/2021_16:26:19,131
20/09/2021_16:26:21,128
20/09/2021_16:26:23,128
20/09/2021_16:26:25,128
20/09/2021_16:26:27,128
20/09/2021_16:26:29,127
20/09/2021_16:26:31,127
20/09/2021_16:26:33,127
20/09/2021_16:26:35,128
20/09/2021_16:26:37,128
20/09/2021_16:26:39,128
20/09/2021_16:26:41,128
20/09/2021_16:26:43,128
20/09/2021_16:26:45,128
20/09/2021_16:26:47,128
20/09/2021_16:26:49,128
20/09/2021_16:26:51,128
20/09/2021_16:26:53,128
20/09/2021_16:26:55,127
20/09/2021_16:26:57,127
20/09/2021_16:26:59,126
20/09/2021_16:27:01,126
20/09/2021_16:27:03,126
20/09/2021_16:27:05,126
20/09/2021_16:27:07,126
20/09/2021_16:27:09,126
20/09/2021_16:27:11,126
20/09/2021_16:27:14,126
20/09/2021_16:27:16,127
20/09/2021_16:27:18,127
20/09/2021_16:27:20,128
20/09/2021_16:27:22,128
20/09/2021_16:27:24,128
20/09/2021_16:27:26,127
20/09/2021_16:27:28,127
20/09/2021_16:27:30,127
20/09/2021_16:27:32,127
20/09/2021_16:27:34,127
20/09/2021_16:27:36,127
20/09/2021_16:27:38,127
20/09/2021_16:27:40,127
20/09/2021_16:27:42,127
