Date_Time, CO2
20/09/2021_16:21:30,151
20/09/2021_16:21:32,151
20/09/2021_16:21:34,151
20/09/2021_16:21:36,153
20/09/2021_16:21:38,153
20/09/2021_16:21:40,154
20/09/2021_16:21:42,154
20/09/2021_16:21:44,154
20/09/2021_16:21:46,154
20/09/2021_16:21:48,154
20/09/2021_16:21:50,153
20/09/2021_16:21:52,153
20/09/2021_16:21:54,153
20/09/2021_16:21:56,152
20/09/2021_16:21:58,152
20/09/2021_16:22:00,152
20/09/2021_16:22:02,152
20/09/2021_16:22:04,152
20/09/2021_16:22:06,151
20/09/2021_16:22:08,151
20/09/2021_16:22:10,151
20/09/2021_16:22:12,151
20/09/2021_16:22:14,151
20/09/2021_16:22:16,151
20/09/2021_16:22:18,151
20/09/2021_16:22:20,152
20/09/2021_16:22:22,152
20/09/2021_16:22:24,152
20/09/2021_16:22:26,154
20/09/2021_16:22:28,154
20/09/2021_16:22:30,156
20/09/2021_16:22:32,156
20/09/2021_16:22:34,155
20/09/2021_16:22:36,155
20/09/2021_16:22:38,155
20/09/2021_16:22:40,155
20/09/2021_16:22:42,155
20/09/2021_16:22:45,155
20/09/2021_16:22:47,155
20/09/2021_16:22:49,155
20/09/2021_16:22:51,153
20/09/2021_16:22:53,153
20/09/2021_16:22:55,152
20/09/2021_16:22:57,152
20/09/2021_16:22:59,152
20/09/2021_16:23:01,152
20/09/2021_16:23:03,152
20/09/2021_16:23:05,152
20/09/2021_16:23:07,152
20/09/2021_16:23:09,152
20/09/2021_16:23:11,152
20/09/2021_16:23:13,152
20/09/2021_16:23:15,152
20/09/2021_16:23:17,152
20/09/2021_16:23:19,152
20/09/2021_16:23:21,152
20/09/2021_16:23:23,152
20/09/2021_16:23:25,148
20/09/2021_16:23:27,148
20/09/2021_16:23:29,148
20/09/2021_16:23:31,147
20/09/2021_16:23:33,147
20/09/2021_16:23:35,146
20/09/2021_16:23:37,146
20/09/2021_16:23:39,146
20/09/2021_16:23:41,145
20/09/2021_16:23:43,145
20/09/2021_16:23:45,145
20/09/2021_16:23:47,145
20/09/2021_16:23:49,145
20/09/2021_16:23:51,145
20/09/2021_16:23:53,145
20/09/2021_16:23:55,143
20/09/2021_16:23:57,143
20/09/2021_16:23:59,142
20/09/2021_16:24:01,142
20/09/2021_16:24:03,142
20/09/2021_16:24:05,140
20/09/2021_16:24:07,140
20/09/2021_16:24:09,138
20/09/2021_16:24:11,138
20/09/2021_16:24:14,138
20/09/2021_16:24:16,140
20/09/2021_16:24:18,140
20/09/2021_16:24:20,141
20/09/2021_16:24:22,141
20/09/2021_16:24:24,141
20/09/2021_16:24:26,140
20/09/2021_16:24:28,140
20/09/2021_16:24:30,138
20/09/2021_16:24:32,138
20/09/2021_16:24:34,138
20/09/2021_16:24:36,137
20/09/2021_16:24:38,137
20/09/2021_16:24:40,140
20/09/2021_16:24:42,140
20/09/2021_16:24:44,140
20/09/2021_16:24:46,137
20/09/2021_16:24:48,137
20/09/2021_16:24:50,138
