Date_Time,CO2,Estado_Valvula_CO2,Estado_Valvula_Compost,Temp_Compost,Temp_Suncho,Estado_Suncho
22/09/2021_13:14:13,803
22/09/2021_13:14:13,,Apagado
22/09/2021_13:14:13,,Prendido
22/09/2021_13:14:13,,-127.00,-127.00,Prendido
22/09/2021_13:14:18,801
22/09/2021_13:14:18,,Apagado
22/09/2021_13:14:18,,Prendido
22/09/2021_13:14:18,,-127.00,-127.00,Prendido
22/09/2021_13:14:23,473
22/09/2021_13:14:23,,Apagado
22/09/2021_13:14:23,,Prendido
22/09/2021_13:14:23,,-127.00,-127.00,Prendido
22/09/2021_13:14:28,0
22/09/2021_13:14:28,,Apagado
22/09/2021_13:14:28,,Prendido
22/09/2021_13:14:28,,-127.00,-127.00,Prendido
22/09/2021_13:14:33,0
22/09/2021_13:14:33,,Prendido
22/09/2021_13:14:33,,Apagado
22/09/2021_13:14:33,,-127.00,-127.00,Prendido
22/09/2021_13:14:38,44
22/09/2021_13:14:38,,Prendido
22/09/2021_13:14:38,,Apagado
22/09/2021_13:14:38,,-127.00,-127.00,Prendido
22/09/2021_13:14:43,447
22/09/2021_13:14:43,,Prendido
22/09/2021_13:14:43,,Apagado
22/09/2021_13:14:43,,-127.00,-127.00,Prendido
22/09/2021_13:14:48,471
22/09/2021_13:14:48,,Apagado
22/09/2021_13:14:48,,Prendido
22/09/2021_13:14:48,,-127.00,-127.00,Prendido
22/09/2021_13:14:53,400
22/09/2021_13:14:53,,Apagado
22/09/2021_13:14:53,,Prendido
22/09/2021_13:14:53,,-127.00,-127.00,Prendido
22/09/2021_13:14:58,150
22/09/2021_13:14:58,,Apagado
22/09/2021_13:14:58,,Prendido
22/09/2021_13:14:58,,-127.00,-127.00,Prendido
22/09/2021_13:15:03,!Warning: Clearing Byte: 136
22/09/2021_13:15:03,0
22/09/2021_13:15:03,,Prendido
22/09/2021_13:15:03,,Apagado
22/09/2021_13:15:03,,-127.00,-127.00,Prendido
22/09/2021_13:15:08,525
22/09/2021_13:15:08,,Prendido
22/09/2021_13:15:08,,Apagado
22/09/2021_13:15:08,,-127.00,-127.00,Prendido
22/09/2021_13:15:13,550
22/09/2021_13:15:13,,Prendido
22/09/2021_13:15:13,,Apagado
22/09/2021_13:15:13,,-127.00,-127.00,Prendido
22/09/2021_13:15:18,547
22/09/2021_13:15:18,,Apagado
22/09/2021_13:15:18,,Prendido
22/09/2021_13:15:18,,-127.00,-127.00,Prendido
22/09/2021_13:15:23,313
22/09/2021_13:15:23,,Apagado
22/09/2021_13:15:23,,Prendido
22/09/2021_13:15:23,,-127.00,-127.00,Prendido
22/09/2021_13:15:28,0
22/09/2021_13:15:28,,Apagado
22/09/2021_13:15:28,,Prendido
22/09/2021_13:15:28,,-127.00,-127.00,Prendido
22/09/2021_13:15:33,291
22/09/2021_13:15:33,,Prendido
22/09/2021_13:15:33,,Apagado
22/09/2021_13:15:33,,-127.00,-127.00,Prendido
22/09/2021_13:15:38,674
22/09/2021_13:15:38,,Prendido
22/09/2021_13:15:38,,Apagado
22/09/2021_13:15:38,,-127.00,-127.00,Prendido
22/09/2021_13:15:43,796
22/09/2021_13:15:43,,Prendido
22/09/2021_13:15:44,,Apagado
22/09/2021_13:15:44,,-127.00,-127.00,Prendido
22/09/2021_13:15:49,797
22/09/2021_13:15:49,,Apagado
22/09/2021_13:15:49,,Prendido
22/09/2021_13:15:49,,-127.00,-127.00,Prendido
22/09/2021_13:15:54,3
22/09/2021_13:15:54,,Apagado
22/09/2021_13:15:54,,Prendido
22/09/2021_13:15:54,,-127.00,-127.00,Prendido
22/09/2021_13:15:59,0
22/09/2021_13:15:59,,Apagado
22/09/2021_13:15:59,,Prendido
22/09/2021_13:15:59,,-127.00,-127.00,Prendido
22/09/2021_13:16:04,!Warning: Clearing Byte: 0
22/09/2021_13:16:04,0
22/09/2021_13:16:04,,Prendido
22/09/2021_13:16:04,,Apagado
22/09/2021_13:16:04,,-127.00,-127.00,Prendido
22/09/2021_13:16:09,580
22/09/2021_13:16:09,,Prendido
22/09/2021_13:16:09,,Apagado
22/09/2021_13:16:09,,-127.00,-127.00,Prendido
22/09/2021_13:16:14,623
22/09/2021_13:16:14,,Prendido
